player_name,player_name,league_name,year,fee,market_value_in_eur,player_position,from_club_name,to_club_name,perf_before_goals,perf_before_assists,perf_before_minutes,perf_before_matches,perf_after_goals,perf_after_assists,perf_after_minutes,perf_after_matches,goal_change,assist_change
Kjetil Haug,Kjetil Haug,Ligue 1,2023,0.0,400000.0,Goalkeeper,Sarpsborg 08,Toulouse,,,,,,,,,,
Gustavo Scarpa,Gustavo Scarpa,Premier League,2023,0.0,6000000.0,Midfield,Olympiacos,Nottm Forest,0.0,0.0,181.0,6.0,,,,,,
Robson Bambu,Robson Bambu,Ligue 1,2023,0.0,2200000.0,Defender,Vasco da Gama,OGC Nice,,,,,,,,,,
Fábio Carvalho,Fábio Carvalho,Premier League,2023,0.0,14000000.0,Midfield,RB Leipzig,Liverpool,2.0,0.0,347.0,13.0,,,,,,
Matías Arezo,Matías Arezo,Primera Division,2023,0.0,7500000.0,Attack,Peñarol,Granada CF,,,,,0.0,0.0,369.0,14.0,,
Marcos Paulo,Marcos Paulo,Primera Division,2023,0.0,4000000.0,Attack,São Paulo,Atlético Madrid,,,,,,,,,,
Dara Costelloe,Dara Costelloe,Premier League,2023,0.0,325000.0,Attack,St. Johnstone,Burnley,,,,,,,,,,
Mikael,Mikael,Serie A,2023,0.0,1000000.0,Attack,América-MG,Salernitana,,,,,,,,,,
Matthew Hoppe,Matthew Hoppe,Premier League,2023,0.0,1000000.0,Attack,SJ Earthquakes,Middlesbrough,,,,,,,,,,
Luis Henrique,Luis Henrique,Ligue 1,2023,0.0,6000000.0,Attack,Botafogo,Marseille,,,,,1.0,0.0,784.0,15.0,,
Jon Karrikaburu,Jon Karrikaburu,Primera Division,2023,0.0,2500000.0,Attack,Alavés,Real Sociedad,0.0,0.0,93.0,6.0,0.0,0.0,16.0,2.0,0.0,0.0
Yerson Mosquera,Yerson Mosquera,Premier League,2023,0.0,3500000.0,Defender,Cincinnati,Wolves,,,,,,,,,,
Alexis Tibidi,Alexis Tibidi,Ligue 1,2023,0.0,1700000.0,Attack,NEC Nijmegen,Troyes,0.0,0.0,74.0,3.0,,,,,,
Tete Yengi,Tete Yengi,Premier League,2023,0.0,250000.0,Attack,KuPS,Ipswich,,,,,,,,,,
Oliver Arblaster,Oliver Arblaster,Premier League,2023,0.0,450000.0,Midfield,Port Vale,Sheff Utd,,,,,0.0,0.0,943.0,12.0,,
Dane Scarlett,Dane Scarlett,Premier League,2023,0.0,1800000.0,Attack,Ipswich,Tottenham,,,,,0.0,0.0,22.0,4.0,,
Tanguy Coulibaly,Tanguy Coulibaly,Ligue 1,2023,,2000000.0,Attack,Without Club,Montpellier,,,,,1.0,0.0,623.0,16.0,,
Jon McCracken,Jon McCracken,Premier League,2023,0.0,200000.0,Goalkeeper,Accrington,Norwich,,,,,,,,,,
Lucas Mincarelli,Lucas Mincarelli,Ligue 1,2023,,150000.0,Defender,Montpellier B,Montpellier,,,,,1.0,1.0,978.0,13.0,,
André Ayew,André Ayew,Ligue 1,2023,,1200000.0,Attack,Without Club,Le Havre AC,,,,,5.0,0.0,1104.0,19.0,,
Kenan Yıldız,Kenan Yıldız,Serie A,2023,,1000000.0,Attack,Juve Next Gen,Juventus,,,,,2.0,0.0,952.0,27.0,,
Dean Huijsen,Dean Huijsen,Serie A,2023,,400000.0,Defender,Juve Next Gen,Juventus,,,,,0.0,0.0,13.0,1.0,,
Aleksandar Pavlovic,Aleksandar Pavlovic,Bundesliga,2023,,200000.0,Midfield,FC Bayern II,Bayern Munich,,,,,2.0,2.0,1227.0,19.0,,
Kassoum Ouattara,Kassoum Ouattara,Ligue 1,2023,2000000.0,600000.0,Defender,Amiens SC,Monaco,,,,,1.0,0.0,636.0,14.0,,
Mark Travers,Mark Travers,Premier League,2023,0.0,3500000.0,Goalkeeper,Stoke City,Bournemouth,0.0,0.0,1035.0,12.0,0.0,0.0,360.0,4.0,0.0,0.0
Sokratis Papastathopoulos,Sokratis Papastathopoulos,Primera Division,2023,,800000.0,Defender,Without Club,Real Betis,,,,,0.0,0.0,1136.0,15.0,,
Elias Baum,Elias Baum,Bundesliga,2023,,250000.0,Defender,E. Frankfurt II,E. Frankfurt,,,,,0.0,0.0,28.0,4.0,,
Luck Zogbé,Luck Zogbé,Ligue 1,2023,,,Defender,Without Club,Stade Brestois,,,,,0.0,0.0,11.0,1.0,,
Yllan Okou,Yllan Okou,Ligue 1,2023,500000.0,300000.0,Defender,Monaco,SC Bastia,,,,,,,,,,
Andros Townsend,Andros Townsend,Premier League,2023,,1500000.0,Attack,Without Club,Luton,,,,,1.0,3.0,1210.0,27.0,,
Frans Krätzig,Frans Krätzig,Bundesliga,2023,,150000.0,Midfield,FC Bayern II,Bayern Munich,,,,,0.0,0.0,56.0,4.0,,
Finn Jeltsch,Finn Jeltsch,Bundesliga,2023,,,Defender,Nürnberg U19,1.FC Nuremberg,,,,,,,,,,
Ibrahima Ba,Ibrahima Ba,Ligue 1,2023,0.0,,Defender,AJEL Rufisque,Valenciennes FC,,,,,,,,,,
Yarek Gasiorowski,Yarek Gasiorowski,Primera Division,2023,,200000.0,Defender,Valencia B,Valencia,,,,,0.0,0.0,735.0,14.0,,
Marciano Sanca,Marciano Sanca,Primera Division,2023,,,Attack,UD Almería B,UD Almería,,,,,,,,,,
Assane Diao,Assane Diao,Primera Division,2023,,200000.0,Attack,Betis Deportivo,Real Betis,,,,,2.0,0.0,1048.0,18.0,,
Papu Gómez,Papu Gómez,Serie A,2023,,3000000.0,Attack,Without Club,Monza,,,,,0.0,0.0,41.0,2.0,,
Yan Marillat,Yan Marillat,Ligue 1,2023,,200000.0,Goalkeeper,Without Club,Stade Brestois,,,,,,,,,,
Josuha Guilavogui,Josuha Guilavogui,Bundesliga,2023,,2000000.0,Midfield,Without Club,1.FSV Mainz 05,1.0,0.0,1180.0,23.0,0.0,1.0,409.0,11.0,-1.0,1.0
Anwar El Ghazi,Anwar El Ghazi,Bundesliga,2023,,5000000.0,Attack,Without Club,1.FSV Mainz 05,,,,,0.0,1.0,54.0,3.0,,
Giulio Donati,Giulio Donati,Serie A,2023,,500000.0,Defender,Without Club,Monza,1.0,0.0,422.0,8.0,0.0,0.0,36.0,4.0,-1.0,0.0
Raphaël Adiceam,Raphaël Adiceam,Ligue 1,2023,,,Goalkeeper,Without Club,AJ Auxerre,,,,,,,,,,
Salvatore Sirigu,Salvatore Sirigu,Ligue 1,2023,,500000.0,Goalkeeper,Without Club,OGC Nice,,,,,,,,,,
Stijn Spierings,Stijn Spierings,Ligue 1,2023,0.0,6000000.0,Midfield,Lens,Toulouse,2.0,0.0,3120.0,36.0,0.0,0.0,118.0,4.0,-2.0,0.0
Michele Avella,Michele Avella,Serie A,2023,,250000.0,Goalkeeper,Without Club,Frosinone,,,,,,,,,,
Juan Manuel Cruz,Juan Manuel Cruz,Serie A,2023,0.0,450000.0,Attack,Banfield,Hellas Verona,,,,,,,,,,
Nicola Sansone,Nicola Sansone,Serie A,2023,,1500000.0,Attack,Without Club,Lecce,4.0,2.0,740.0,18.0,2.0,2.0,767.0,25.0,-2.0,0.0
Roberto Pereyra,Roberto Pereyra,Serie A,2023,,6000000.0,Midfield,Without Club,Udinese,5.0,7.0,2820.0,34.0,4.0,3.0,1858.0,27.0,-1.0,-4.0
Álvaro Aguado,Álvaro Aguado,Primera Division,2023,,3000000.0,Midfield,Without Club,Espanyol,1.0,2.0,1888.0,34.0,,,,,,
Axel Tuanzebe,Axel Tuanzebe,Premier League,2023,,4500000.0,Defender,Without Club,Ipswich,,,,,,,,,,
