club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,year,season,country,perf_after_goals,perf_after_assists,perf_after_minutes,perf_after_matches,perf_before_goals,perf_before_assists,perf_before_minutes,perf_before_matches,player_name.1,market_value_in_eur,player_position,from_club_name,to_club_name,goal_change,assist_change,goals_per_90_before,goals_per_90_after,assists_per_90_before,assists_per_90_after,goal_contribution_before,goal_contribution_after,is_young,is_prime,is_veteran,is_forward,is_midfielder,is_defender,is_goalkeeper,fee_millions,fee_category,league_1 Bundesliga,league_Bundesliga,league_Ligue 1,league_Premier League,league_Primera Division,league_Serie A,target_goals_after,target_assists_after,target_goal_contribution_after,target_minutes_after,target_success_goals,target_success_minutes,target_success_contribution,target_success_overall
Arsenal FC,Gabriel Jesus,27,Centre-Forward,Man City,0.0,in,Summer,52.2,2022,2022/2023,England,11.0,6.0,2064.0,26.0,8.0,8.0,1877.0,28.0,,,Unknown,,,,,0.3835908364411295,0.4796511627906977,0.3835908364411295,0.2616279069767442,16.0,17.0,0,1,0,0,0,0,0,0.0,<5M,False,False,False,True,False,False,11.0,6.0,17.0,2064.0,1,1,1,1
Arsenal FC,Oleksandr Zinchenko,27,Left-Back,Man City,0.0,in,Summer,35.0,2022,2022/2023,England,1.0,2.0,2118.0,27.0,0.0,4.0,1047.0,15.0,,,Unknown,,,,,0.0,0.04249291784702549,0.34383954154727797,0.08498583569405098,4.0,3.0,0,1,0,0,0,0,0,0.0,<5M,False,False,False,True,False,False,1.0,2.0,3.0,2118.0,1,1,0,1
Arsenal FC,Marquinhos,27,Right Winger,São Paulo,0.0,in,Summer,3.5,2022,2022/2023,England,0.0,0.0,1.0,1.0,5.0,0.0,2861.0,32.0,,,Unknown,,,,,0.15728766165676336,0.0,0.0,0.0,5.0,0.0,0,1,0,0,0,0,0,0.0,<5M,False,False,False,True,False,False,0.0,0.0,0.0,1.0,0,0,0,0
Arsenal FC,Konstantinos Mavropanos,27,Centre-Back,VfB Stuttgart,0.0,in,Summer,,2022,2022/2023,England,2.0,1.0,2286.0,28.0,4.0,0.0,2705.0,31.0,,,Unknown,,,,,0.133086876155268,0.07874015748031496,0.0,0.03937007874015748,4.0,3.0,0,1,0,0,0,0,0,0.0,<5M,False,False,False,True,False,False,2.0,1.0,3.0,2286.0,0,0,0,0
Arsenal FC,Ainsley Maitland-Niles,27,Right Midfield,Southampton,0.0,in,Summer,,2022,2022/2023,England,0.0,0.0,1407.0,22.0,0.0,0.0,268.0,8.0,,,Unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,<5M,False,False,False,True,False,False,0.0,0.0,0.0,1407.0,0,1,0,1
Arsenal FC,Mattéo Guendouzi,27,Central Midfield,Marseille,0.0,in,Summer,,2022,2022/2023,England,2.0,4.0,2108.0,33.0,4.0,6.0,3152.0,38.0,,,Unknown,,,,,0.11421319796954314,0.08538899430740038,0.1713197969543147,0.17077798861480076,10.0,6.0,0,1,0,0,0,0,0,0.0,<5M,False,False,False,True,False,False,2.0,4.0,6.0,2108.0,0,0,0,0
Arsenal FC,William Saliba,27,Centre-Back,Marseille,0.0,in,Summer,,2022,2022/2023,England,2.0,1.0,2415.0,27.0,0.0,0.0,3240.0,36.0,,,Unknown,,,,,0.0,0.07453416149068323,0.0,0.037267080745341616,0.0,3.0,0,1,0,0,0,0,0,0.0,<5M,False,False,False,True,False,False,2.0,1.0,3.0,2415.0,1,0,1,1
Arsenal FC,Reiss Nelson,27,Right Winger,Feyenoord,0.0,in,Summer,,2022,2022/2023,England,3.0,2.0,212.0,11.0,0.0,0.0,20.0,1.0,,,Unknown,,,,,0.0,1.2735849056603774,0.0,0.8490566037735848,0.0,5.0,0,1,0,0,0,0,0,0.0,<5M,False,False,False,True,False,False,3.0,2.0,5.0,212.0,1,1,1,1
Arsenal FC,Héctor Bellerín,27,Right-Back,Real Betis,0.0,in,Summer,,2022,2022/2023,England,0.0,0.0,143.0,3.0,0.0,2.0,1979.0,23.0,,,Unknown,,,,,0.0,0.0,0.09095502779181405,0.0,2.0,0.0,0,1,0,0,0,0,0,0.0,<5M,False,False,False,True,False,False,0.0,0.0,0.0,143.0,0,0,0,0
Arsenal FC,Ainsley Maitland-Niles,27,Right Midfield,AS Roma,0.0,in,Summer,,2022,2022/2023,England,0.0,0.0,1407.0,22.0,0.0,0.0,268.0,8.0,,,Unknown,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,<5M,False,False,False,True,False,False,0.0,0.0,0.0,1407.0,0,1,0,1
