,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2122,Angers,Abdoulaye Bamba,CIV,"DF,FW",31,1990,10,458,46,13.4,5.1,4,88,3,6,18,13,1.2,4,9,-5,-0.98,-0.8,4.6,10.5,-5.9,-1.16,-1.23
FRA-Ligue 1,2122,Angers,Ali Kalla,FRA,DF,23,1998,0,,,,,0,,0,0,,7,,,,,,,,,,,
FRA-Ligue 1,2122,Angers,Angelo Fulgini,FRA,"MF,FW",24,1996,36,2929,81,85.6,32.5,35,83,13,1,8,0,0.97,40,48,-8,-0.25,0.3,40.1,42.6,-2.4,-0.08,0.13
FRA-Ligue 1,2122,Angers,Anthony Mandrea,ALG,GK,24,1996,10,900,90,26.3,10.0,10,90,10,0,,16,1.2,13,14,-1,-0.1,0.26,13.9,16.2,-2.3,-0.23,-0.19
FRA-Ligue 1,2122,Angers,Antonin Bobichon,FRA,"MF,FW",25,1995,4,38,10,1.1,0.4,0,,0,4,10,7,1.5,1,1,0,0.0,0.29,0.5,1.1,-0.6,-1.46,-1.38
FRA-Ligue 1,2122,Angers,Azzedine Ounahi,MAR,MF,21,2000,32,1633,51,47.7,18.1,16,85,10,16,17,1,0.97,19,34,-15,-0.83,-1.03,19.3,29.1,-9.7,-0.54,-0.85
FRA-Ligue 1,2122,Angers,Batista Mendy,FRA,"MF,DF",21,2000,34,2413,71,70.6,26.8,27,83,16,7,26,2,1.06,32,41,-9,-0.34,-0.16,31.4,36.3,-4.9,-0.18,-0.3
FRA-Ligue 1,2122,Angers,Bilal Brahimi,ALG,FW,21,2000,9,338,38,9.9,3.8,3,78,1,6,17,1,1.11,4,5,-1,-0.27,0.03,4.7,5.2,-0.4,-0.12,-0.03
FRA-Ligue 1,2122,Angers,Casimir Ninga,CHA,FW,28,1993,16,409,26,12.0,4.5,3,76,0,13,14,15,0.81,2,6,-4,-0.88,-0.67,4.1,5.4,-1.3,-0.28,-0.21
FRA-Ligue 1,2122,Angers,Danijel Petković,MNE,GK,28,1993,15,1350,90,39.5,15.0,15,90,15,0,,22,0.8,12,22,-10,-0.67,-0.62,17.3,19.3,-2.0,-0.13,-0.06
FRA-Ligue 1,2122,Angers,Daylam Meddah,FRA,MF,18,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
FRA-Ligue 1,2122,Angers,Enzo Ebosse,CMR,DF,22,1999,27,1890,70,55.3,21.0,21,85,17,6,16,4,1.0,21,32,-11,-0.52,-0.52,27.2,30.0,-2.8,-0.13,-0.09
FRA-Ligue 1,2122,Angers,Farid El Melali,ALG,FW,24,1997,2,14,7,0.4,0.2,0,,0,2,7,6,0.5,0,0,0,0.0,0.29,0.1,0.0,0.1,0.61,0.7
FRA-Ligue 1,2122,Angers,Frank Magri,CMR,FW,21,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
