,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2122,Angers,Abdoulaye Bamba,CIV,"DF,FW",31,1990,5.1,0,1,0,0.0,0.2,0.0,0.0,,7.3,0,0,0,0.2,0.2,0.24,-0.2,-0.2
FRA-Ligue 1,2122,Angers,Angelo Fulgini,FRA,"MF,FW",24,1996,32.5,5,58,17,29.3,1.78,0.52,0.09,0.29,16.5,3,0,0,5.8,5.8,0.1,-0.8,-0.8
FRA-Ligue 1,2122,Angers,Anthony Mandrea,ALG,GK,24,1996,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Angers,Antonin Bobichon,FRA,"MF,FW",25,1995,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Angers,Azzedine Ounahi,MAR,MF,21,2000,18.1,2,26,4,15.4,1.43,0.22,0.08,0.5,23.3,0,0,0,2.0,2.0,0.08,0.0,0.0
FRA-Ligue 1,2122,Angers,Batista Mendy,FRA,"MF,DF",21,2000,26.8,1,14,6,42.9,0.52,0.22,0.07,0.17,21.7,0,0,0,0.8,0.8,0.06,0.2,0.2
FRA-Ligue 1,2122,Angers,Bilal Brahimi,ALG,FW,21,2000,3.8,0,6,2,33.3,1.6,0.53,0.0,0.0,17.7,0,0,0,0.5,0.5,0.08,-0.5,-0.5
FRA-Ligue 1,2122,Angers,Casimir Ninga,CHA,FW,28,1993,4.5,0,9,2,22.2,1.98,0.44,0.0,0.0,12.3,0,0,0,0.8,0.8,0.09,-0.8,-0.8
FRA-Ligue 1,2122,Angers,Danijel Petković,MNE,GK,28,1993,15.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Angers,Enzo Ebosse,CMR,DF,22,1999,21.0,0,3,0,0.0,0.14,0.0,0.0,,17.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1
FRA-Ligue 1,2122,Angers,Farid El Melali,ALG,FW,24,1997,0.2,0,1,0,0.0,6.43,0.0,0.0,,19.8,0,0,0,0.0,0.0,0.03,0.0,0.0
FRA-Ligue 1,2122,Angers,Guédé Nadje,FRA,MF,17,2003,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Angers,Ismaël Traoré,CIV,DF,34,1986,35.7,4,25,9,36.0,0.7,0.25,0.16,0.44,9.2,0,0,0,4.0,4.0,0.17,0.0,0.0
FRA-Ligue 1,2122,Angers,Jason Mbock,FRA,FW,21,1999,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Angers,Jimmy Cabot,FRA,DF,27,1994,22.3,0,11,3,27.3,0.49,0.13,0.0,0.0,22.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4
FRA-Ligue 1,2122,Angers,Marin Jakoliš,CRO,FW,24,1996,2.5,0,9,3,33.3,3.54,1.18,0.0,0.0,15.5,0,0,0,1.1,1.1,0.12,-1.1,-1.1
FRA-Ligue 1,2122,Angers,Mathias Pereira Lage,POR,DF,24,1996,11.6,4,19,6,31.6,1.64,0.52,0.21,0.67,19.8,2,0,0,2.6,2.6,0.14,1.4,1.4
FRA-Ligue 1,2122,Angers,Mohamed Ali Cho,FRA,FW,17,2004,20.4,4,42,15,35.7,2.06,0.73,0.1,0.27,15.3,0,0,0,6.4,6.4,0.15,-2.4,-2.4
FRA-Ligue 1,2122,Angers,Nabil Bentaleb,ALG,MF,26,1994,16.8,1,15,7,46.7,0.89,0.42,0.07,0.14,22.9,1,0,0,0.6,0.6,0.04,0.4,0.4
FRA-Ligue 1,2122,Angers,Noah Fatar,FRA,"DF,MF",19,2002,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Angers,Paul Bernardoni,FRA,GK,24,1997,13.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Angers,Pierrick Capelle,FRA,"MF,DF",34,1987,13.3,0,17,1,5.9,1.28,0.08,0.0,0.0,19.5,0,0,0,1.5,1.5,0.09,-1.5,-1.5
FRA-Ligue 1,2122,Angers,Romain Thomas,FRA,DF,33,1988,28.5,2,14,4,28.6,0.49,0.14,0.14,0.5,8.2,0,0,0,2.0,2.0,0.16,0.0,0.0
FRA-Ligue 1,2122,Angers,Sada Thioub,SEN,FW,26,1995,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
FRA-Ligue 1,2122,Angers,Sofiane Boufal,MAR,"FW,MF",27,1993,25.9,8,60,24,40.0,2.32,0.93,0.08,0.21,21.7,10,3,3,8.5,6.1,0.11,-0.5,-1.1
FRA-Ligue 1,2122,Angers,Souleyman Doumbia,CIV,"DF,FW",24,1996,24.7,0,14,3,21.4,0.57,0.12,0.0,0.0,20.6,0,0,0,0.8,0.8,0.06,-0.8,-0.8
