,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2223,Ajaccio,Anthony Khelifa,ALG,DF,16,2005,0.1,11,12,91.7,215,55,3,3,100.0,7,8,87.5,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1
FRA-Ligue 1,2223,Ajaccio,Ben Hamed Touré,CIV,FW,18,2003,2.3,28,36,77.8,362,55,16,20,80.0,11,13,84.6,0,1,0.0,0,0.0,0.0,0.0,0,1,0,0,1
FRA-Ligue 1,2223,Ajaccio,Benjamin Leroy,FRA,GK,33,1989,31.1,533,875,60.9,18415,15715,60,60,100.0,211,215,98.1,261,593,44.0,0,0.0,0.1,0.0,0,22,0,0,1
FRA-Ligue 1,2223,Ajaccio,Bevic Moussiti-Oko,CGO,FW,27,1995,7.8,90,163,55.2,1205,235,52,82,63.4,23,50,46.0,5,10,50.0,0,0.8,0.4,-0.8,5,10,2,0,10
FRA-Ligue 1,2223,Ajaccio,Clément Vidal,FRA,"DF,MF",22,2000,21.1,604,785,76.9,12836,5788,164,207,79.2,318,376,84.6,109,177,61.6,0,0.2,0.6,-0.2,1,52,2,1,61
FRA-Ligue 1,2223,Ajaccio,Cyrille Bayala,BFA,MF,26,1996,22.3,399,654,61.0,6041,2291,219,290,75.5,133,215,61.9,24,76,31.6,1,2.0,1.7,-1.0,19,45,14,7,66
FRA-Ligue 1,2223,Ajaccio,Cédric Avinel,GLP,DF,35,1986,19.9,607,714,85.0,12003,4107,174,194,89.7,346,388,89.2,71,108,65.7,0,0.0,0.1,0.0,0,13,0,0,31
FRA-Ligue 1,2223,Ajaccio,Fernand Mayembo,CGO,DF,26,1996,7.9,275,320,85.9,5471,1472,91,102,89.2,145,160,90.6,36,53,67.9,0,0.1,0.0,-0.1,2,7,0,0,11
FRA-Ligue 1,2223,Ajaccio,Florian Chabrolle,FRA,MF,24,1998,3.7,120,138,87.0,1822,345,60,65,92.3,49,57,86.0,4,9,44.4,0,0.0,0.1,0.0,0,7,2,0,14
FRA-Ligue 1,2223,Ajaccio,François-Joseph Sollacaro,FRA,GK,28,1994,6.0,68,142,47.9,2073,1580,11,11,100.0,27,30,90.0,28,99,28.3,0,0.0,0.0,0.0,0,1,0,0,0
FRA-Ligue 1,2223,Ajaccio,Ghjuvanni Quilichini,FRA,GK,19,2002,0.9,14,34,41.2,511,427,1,1,100.0,5,5,100.0,8,28,28.6,0,0.0,0.0,0.0,0,0,0,0,0
FRA-Ligue 1,2223,Ajaccio,Ismael Diallo,CIV,DF,25,1997,24.2,804,1078,74.6,14552,5879,359,427,84.1,319,408,78.2,99,188,52.7,0,0.6,0.7,-0.6,9,73,8,4,70
FRA-Ligue 1,2223,Ajaccio,Ivane Chegra,FRA,"MF,FW",18,2004,2.1,21,40,52.5,447,232,6,15,40.0,10,13,76.9,4,9,44.4,0,0.1,0.1,-0.1,1,5,1,0,7
FRA-Ligue 1,2223,Ajaccio,Kevin Spadanuda,SUI,"MF,FW",25,1997,11.8,212,264,80.3,3060,542,116,141,82.3,78,93,83.9,8,14,57.1,1,0.6,0.3,0.4,8,15,2,0,17
FRA-Ligue 1,2223,Ajaccio,Kouamé Botué,BFA,"FW,MF",19,2002,2.5,33,47,70.2,386,141,23,31,74.2,8,12,66.7,0,0,,0,0.1,0.1,-0.1,3,6,1,0,4
FRA-Ligue 1,2223,Ajaccio,Mathieu Coutadeur,FRA,MF,36,1986,21.6,1006,1197,84.0,16929,4490,464,526,88.2,386,449,86.0,106,150,70.7,0,1.0,1.4,-1.0,10,100,7,1,110
FRA-Ligue 1,2223,Ajaccio,Mehdi Puch-Herrantz,FRA,MF,18,2004,0.5,22,28,78.6,375,122,11,12,91.7,8,12,66.7,2,2,100.0,0,0.1,0.0,-0.1,2,2,1,0,4
FRA-Ligue 1,2223,Ajaccio,Mickaël Alphonse,GLP,DF,33,1989,15.1,448,686,65.3,7834,3413,197,237,83.1,190,272,69.9,45,133,33.8,0,0.6,0.9,-0.6,11,43,10,5,51
FRA-Ligue 1,2223,Ajaccio,Mickaël Barreto,FRA,MF,31,1991,14.7,481,695,69.2,9089,3373,205,247,83.0,179,239,74.9,80,173,46.2,1,1.9,2.1,-0.9,18,71,16,7,87
FRA-Ligue 1,2223,Ajaccio,Mohamed Youssouf,COM,DF,34,1988,27.3,932,1279,72.9,14905,7094,487,582,83.7,341,457,74.6,75,167,44.9,0,1.4,1.4,-1.4,15,83,24,17,91
FRA-Ligue 1,2223,Ajaccio,Mounaim El Idrissy,FRA,FW,23,1999,27.7,413,622,66.4,5248,987,269,372,72.3,96,147,65.3,13,26,50.0,0,1.0,0.9,-1.0,13,33,9,1,40
FRA-Ligue 1,2223,Ajaccio,Moussa Djitte,SEN,FW,22,1999,1.5,24,32,75.0,275,43,14,16,87.5,7,11,63.6,1,2,50.0,0,0.0,0.0,0.0,1,3,1,0,2
FRA-Ligue 1,2223,Ajaccio,Moussa Soumano,FRA,FW,17,2005,5.5,43,67,64.2,514,74,30,40,75.0,8,12,66.7,1,3,33.3,0,0.3,0.4,-0.3,5,0,1,1,1
FRA-Ligue 1,2223,Ajaccio,Oumar Gonzalez,CMR,DF,24,1998,28.6,899,1102,81.6,17387,4963,271,332,81.6,513,565,90.8,94,172,54.7,0,0.0,0.2,0.0,1,29,1,0,54
FRA-Ligue 1,2223,Ajaccio,Paolo Lebas,FRA,MF,19,2003,0.6,12,16,75.0,208,72,6,10,60.0,6,6,100.0,0,0,,0,0.0,0.0,0.0,0,2,0,0,2
