league,season,game,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
FRA-Ligue 1,2223,2022-08-05 Lyon-Ajaccio,1,Fri,2022-08-05,21:00,Lyon,1.3,2–1,1.5,Ajaccio,48516,Groupama Stadium,Benoît Bastien,/en/matches/47ab569b/Lyon-Ajaccio-August-5-2022-Ligue-1,,47ab569b
FRA-Ligue 1,2223,2022-08-06 Clermont Foot-Paris S-G,1,Sat,2022-08-06,21:00,Clermont Foot,0.3,0–5,3.5,Paris S-G,12203,Stade Gabriel Montpied,Jeremy Stinat,/en/matches/d99d9161/Clermont-Foot-Paris-Saint-Germain-August-6-2022-Ligue-1,,d99d9161
FRA-Ligue 1,2223,2022-08-06 Strasbourg-Monaco,1,Sat,2022-08-06,17:00,Strasbourg,0.8,1–2,2.8,Monaco,25359,Stade de la Meinau,François Letexier,/en/matches/b9e7f94c/Strasbourg-Monaco-August-6-2022-Ligue-1,,b9e7f94c
FRA-Ligue 1,2223,2022-08-07 Angers-Nantes,1,Sun,2022-08-07,15:00,Angers,1.5,0–0,1.5,Nantes,12000,Stade Raymond Kopa,Hakim Ben El Hadj Salem,/en/matches/136d5cbe/Angers-Nantes-August-7-2022-Ligue-1,,136d5cbe
FRA-Ligue 1,2223,2022-08-07 Lens-Brest,1,Sun,2022-08-07,15:00,Lens,2.5,3–2,1.2,Brest,37015,Stade Bollaert-Delelis,Thomas Léonard,/en/matches/058c83eb/Lens-Brest-August-7-2022-Ligue-1,,058c83eb
FRA-Ligue 1,2223,2022-08-07 Lille-Auxerre,1,Sun,2022-08-07,15:00,Lille,2.4,4–1,0.6,Auxerre,32292,Stade Pierre-Mauroy,Eric Wattellier,/en/matches/cbdc95fe/Lille-Auxerre-August-7-2022-Ligue-1,,cbdc95fe
FRA-Ligue 1,2223,2022-08-07 Marseille-Reims,1,Sun,2022-08-07,20:45,Marseille,2.1,4–1,0.9,Reims,62738,Orange Vélodrome,Jérôme Brisard,/en/matches/534ab8ff/Marseille-Reims-August-7-2022-Ligue-1,,534ab8ff
FRA-Ligue 1,2223,2022-08-07 Montpellier-Troyes,1,Sun,2022-08-07,15:00,Montpellier,1.7,3–2,2.0,Troyes,12003,Stade de la Mosson,Pierre Gaillouste,/en/matches/e3e9b9b5/Montpellier-Troyes-August-7-2022-Ligue-1,,e3e9b9b5
FRA-Ligue 1,2223,2022-08-07 Rennes-Lorient,1,Sun,2022-08-07,17:05,Rennes,1.8,0–1,1.1,Lorient,28177,Roazhon Park,Bastien Dechepy,/en/matches/8ff3f9dd/Rennes-Lorient-August-7-2022-Ligue-1,,8ff3f9dd
FRA-Ligue 1,2223,2022-08-07 Toulouse-Nice,1,Sun,2022-08-07,13:00,Toulouse,0.9,1–1,1.2,Nice,20567,Stadium Municipal,Johan Hamel,/en/matches/8f2f241b/Toulouse-Nice-August-7-2022-Ligue-1,,8f2f241b
FRA-Ligue 1,2223,2022-08-12 Nantes-Lille,2,Fri,2022-08-12,21:00,Nantes,1.0,1–1,2.0,Lille,30689,Stade de la Beaujoire - Louis Fonteneau,Bastien Dechepy,/en/matches/00173ae0/Nantes-Lille-August-12-2022-Ligue-1,,00173ae0
