league,season,game,round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
FRA-Ligue 1,2324,2023-08-11 Nice-Lille,Ligue 1,1,Fri,2023-08-11,21:00,Nice,1.2,1–1,1.3,Lille,29436,Stade de Nice,Benoît Bastien,/en/matches/ff59d311/Nice-Lille-August-11-2023-Ligue-1,,ff59d311
FRA-Ligue 1,2324,2023-08-12 Marseille-Reims,Ligue 1,1,Sat,2023-08-12,17:00,Marseille,1.0,2–1,0.8,Reims,63787,Orange Vélodrome,Eric Wattellier,/en/matches/fdbcc9e3/Marseille-Reims-August-12-2023-Ligue-1,,fdbcc9e3
FRA-Ligue 1,2324,2023-08-12 Paris S-G-Lorient,Ligue 1,1,Sat,2023-08-12,21:00,Paris S-G,1.2,0–0,0.1,Lorient,47000,Parc des Princes,Bastien Dechepy,/en/matches/2e85b460/Paris-Saint-Germain-Lorient-August-12-2023-Ligue-1,,2e85b460
FRA-Ligue 1,2324,2023-08-13 Brest-Lens,Ligue 1,1,Sun,2023-08-13,13:00,Brest,2.5,3–2,0.7,Lens,15085,Stade Francis-Le Blé,Jérémie Pignard,/en/matches/6e29d5a3/Brest-Lens-August-13-2023-Ligue-1,,6e29d5a3
FRA-Ligue 1,2324,2023-08-13 Clermont Foot-Monaco,Ligue 1,1,Sun,2023-08-13,15:00,Clermont Foot,1.8,2–4,2.5,Monaco,10453,Stade Gabriel Montpied,François Letexier,/en/matches/68752280/Clermont-Foot-Monaco-August-13-2023-Ligue-1,,68752280
FRA-Ligue 1,2324,2023-08-13 Montpellier-Le Havre,Ligue 1,1,Sun,2023-08-13,15:00,Montpellier,1.6,2–2,1.0,Le Havre,15852,Stade de la Mosson,Clément Turpin,/en/matches/ca893ead/Montpellier-Le-Havre-August-13-2023-Ligue-1,,ca893ead
FRA-Ligue 1,2324,2023-08-13 Nantes-Toulouse,Ligue 1,1,Sun,2023-08-13,15:00,Nantes,1.1,1–2,1.1,Toulouse,30578,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod,/en/matches/1e12937d/Nantes-Toulouse-August-13-2023-Ligue-1,,1e12937d
FRA-Ligue 1,2324,2023-08-13 Rennes-Metz,Ligue 1,1,Sun,2023-08-13,17:05,Rennes,4.0,5–1,0.4,Metz,26065,Roazhon Park,Jeremy Stinat,/en/matches/e0073aaf/Rennes-Metz-August-13-2023-Ligue-1,,e0073aaf
FRA-Ligue 1,2324,2023-08-13 Strasbourg-Lyon,Ligue 1,1,Sun,2023-08-13,20:45,Strasbourg,1.3,2–1,1.7,Lyon,25410,Stade de la Meinau,Jérôme Brisard,/en/matches/9f7c605e/Strasbourg-Lyon-August-13-2023-Ligue-1,,9f7c605e
FRA-Ligue 1,2324,2023-08-18 Metz-Marseille,Ligue 1,2,Fri,2023-08-18,21:00,Metz,0.5,2–2,1.9,Marseille,26661,Stade Saint-Symphorien,Jérôme Brisard,/en/matches/02c81085/Metz-Marseille-August-18-2023-Ligue-1,,02c81085
FRA-Ligue 1,2324,2023-08-19 Lyon-Montpellier,Ligue 1,2,Sat,2023-08-19,19:00,Lyon,0.4,1–4,2.9,Montpellier,42576,Groupama Stadium,Mathieu Vernice,/en/matches/39ad4054/Lyon-Montpellier-August-19-2023-Ligue-1,,39ad4054
FRA-Ligue 1,2324,2023-08-19 Toulouse-Paris S-G,Ligue 1,2,Sat,2023-08-19,21:00,Toulouse,1.2,1–1,2.1,Paris S-G,27332,Stadium Municipal,Thomas Léonard,/en/matches/fad8e14d/Toulouse-Paris-Saint-Germain-August-19-2023-Ligue-1,,fad8e14d
FRA-Ligue 1,2324,2023-08-20 Le Havre-Brest,Ligue 1,2,Sun,2023-08-20,15:00,Le Havre,1.2,1–2,1.1,Brest,19574,Stade Océane,Florent Batta,/en/matches/680c6c1d/Le-Havre-Brest-August-20-2023-Ligue-1,,680c6c1d
FRA-Ligue 1,2324,2023-08-20 Lens-Rennes,Ligue 1,2,Sun,2023-08-20,20:45,Lens,1.0,1–1,1.4,Rennes,37233,Stade Bollaert-Delelis,Benoît Millot,/en/matches/283d8d62/Lens-Rennes-August-20-2023-Ligue-1,,283d8d62
FRA-Ligue 1,2324,2023-08-20 Lille-Nantes,Ligue 1,2,Sun,2023-08-20,13:00,Lille,2.2,2–0,1.1,Nantes,34356,Decathlon Arena - Stade Pierre-Mauroy,Pierre Gaillouste,/en/matches/31fe99c8/Lille-Nantes-August-20-2023-Ligue-1,,31fe99c8
FRA-Ligue 1,2324,2023-08-20 Lorient-Nice,Ligue 1,2,Sun,2023-08-20,15:00,Lorient,0.8,1–1,1.7,Nice,15848,Stade du Moustoir,Hakim Ben El Hadj Salem,/en/matches/f6d67175/Lorient-Nice-August-20-2023-Ligue-1,,f6d67175
FRA-Ligue 1,2324,2023-08-20 Monaco-Strasbourg,Ligue 1,2,Sun,2023-08-20,19:00,Monaco,0.9,3–0,0.5,Strasbourg,10100,Stade Louis II,Ruddy Buquet,/en/matches/f06d0bce/Monaco-Strasbourg-August-20-2023-Ligue-1,,f06d0bce
FRA-Ligue 1,2324,2023-08-20 Reims-Clermont Foot,Ligue 1,2,Sun,2023-08-20,15:00,Reims,2.4,2–0,0.4,Clermont Foot,12887,Stade Auguste-Delaune,Romain Lissorgue,/en/matches/4b9f0040/Reims-Clermont-Foot-August-20-2023-Ligue-1,,4b9f0040
FRA-Ligue 1,2324,2023-08-25 Nantes-Monaco,Ligue 1,3,Fri,2023-08-25,21:00,Nantes,1.0,3–3,3.3,Monaco,28429,Stade de la Beaujoire - Louis Fonteneau,Jérémie Pignard,/en/matches/ea724bc0/Nantes-Monaco-August-25-2023-Ligue-1,,ea724bc0
FRA-Ligue 1,2324,2023-08-26 Marseille-Brest,Ligue 1,3,Sat,2023-08-26,19:00,Marseille,2.9,2–0,1.5,Brest,63592,Orange Vélodrome,Jeremy Stinat,/en/matches/b9c29ee4/Marseille-Brest-August-26-2023-Ligue-1,,b9c29ee4
FRA-Ligue 1,2324,2023-08-26 Paris S-G-Lens,Ligue 1,3,Sat,2023-08-26,21:00,Paris S-G,1.5,3–1,0.5,Lens,47864,Parc des Princes,François Letexier,/en/matches/d3db871d/Paris-Saint-Germain-Lens-August-26-2023-Ligue-1,,d3db871d
FRA-Ligue 1,2324,2023-08-27 Clermont Foot-Metz,Ligue 1,3,Sun,2023-08-27,15:00,Clermont Foot,0.7,0–1,1.1,Metz,9146,Stade Gabriel Montpied,Gaël Angoula,/en/matches/344b05de/Clermont-Foot-Metz-August-27-2023-Ligue-1,,344b05de
FRA-Ligue 1,2324,2023-08-27 Lorient-Lille,Ligue 1,3,Sun,2023-08-27,17:05,Lorient,1.6,4–1,1.1,Lille,15101,Stade du Moustoir,Willy Delajod,/en/matches/eb2c366f/Lorient-Lille-August-27-2023-Ligue-1,,eb2c366f
FRA-Ligue 1,2324,2023-08-27 Montpellier-Reims,Ligue 1,3,Sun,2023-08-27,15:00,Montpellier,0.9,1–3,1.4,Reims,14476,Stade de la Mosson,Marc Bollengier,/en/matches/4d6e6c68/Montpellier-Reims-August-27-2023-Ligue-1,,4d6e6c68
FRA-Ligue 1,2324,2023-08-27 Nice-Lyon,Ligue 1,3,Sun,2023-08-27,20:45,Nice,1.9,0–0,0.2,Lyon,28033,Stade de Nice,Bastien Dechepy,/en/matches/067a73e7/Nice-Lyon-August-27-2023-Ligue-1,,067a73e7
FRA-Ligue 1,2324,2023-08-27 Rennes-Le Havre,Ligue 1,3,Sun,2023-08-27,13:00,Rennes,3.2,2–2,0.4,Le Havre,28311,Roazhon Park,Eric Wattellier,/en/matches/505ba995/Rennes-Le-Havre-August-27-2023-Ligue-1,,505ba995
FRA-Ligue 1,2324,2023-08-27 Strasbourg-Toulouse,Ligue 1,3,Sun,2023-08-27,15:00,Strasbourg,3.4,2–0,0.3,Toulouse,25090,Stade de la Meinau,Benoît Bastien,/en/matches/0b508695/Strasbourg-Toulouse-August-27-2023-Ligue-1,,0b508695
FRA-Ligue 1,2324,2023-09-01 Nantes-Marseille,Ligue 1,4,Fri,2023-09-01,21:00,Nantes,0.9,1–1,2.6,Marseille,34600,Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet,/en/matches/6eca98c7/Nantes-Marseille-September-1-2023-Ligue-1,,6eca98c7
FRA-Ligue 1,2324,2023-09-02 Brest-Rennes,Ligue 1,4,Sat,2023-09-02,17:00,Brest,1.4,0–0,0.3,Rennes,15021,Stade Francis-Le Blé,Hakim Ben El Hadj Salem,/en/matches/38572486/Brest-Rennes-September-2-2023-Ligue-1,,38572486
FRA-Ligue 1,2324,2023-09-02 Monaco-Lens,Ligue 1,4,Sat,2023-09-02,21:00,Monaco,0.9,3–0,0.6,Lens,9600,Stade Louis II,Willy Delajod,/en/matches/7a2f8122/Monaco-Lens-September-2-2023-Ligue-1,,7a2f8122
FRA-Ligue 1,2324,2023-09-03 Le Havre-Lorient,Ligue 1,4,Sun,2023-09-03,15:00,Le Havre,2.0,3–0,0.7,Lorient,18707,Stade Océane,Romain Lissorgue,/en/matches/4519a333/Le-Havre-Lorient-September-3-2023-Ligue-1,,4519a333
FRA-Ligue 1,2324,2023-09-03 Lille-Montpellier,Ligue 1,4,Sun,2023-09-03,15:00,Lille,1.2,1–0,0.3,Montpellier,35298,Decathlon Arena - Stade Pierre-Mauroy,Benoît Millot,/en/matches/26cacbb5/Lille-Montpellier-September-3-2023-Ligue-1,,26cacbb5
FRA-Ligue 1,2324,2023-09-03 Lyon-Paris S-G,Ligue 1,4,Sun,2023-09-03,20:45,Lyon,2.1,1–4,4.5,Paris S-G,51657,Groupama Stadium,Eric Wattellier,/en/matches/cd3d8319/Lyon-Paris-Saint-Germain-September-3-2023-Ligue-1,,cd3d8319
FRA-Ligue 1,2324,2023-09-03 Metz-Reims,Ligue 1,4,Sun,2023-09-03,15:00,Metz,1.1,2–2,0.7,Reims,24272,Stade Saint-Symphorien,Mathieu Vernice,/en/matches/678bad42/Metz-Reims-September-3-2023-Ligue-1,,678bad42
FRA-Ligue 1,2324,2023-09-03 Nice-Strasbourg,Ligue 1,4,Sun,2023-09-03,17:05,Nice,2.2,2–0,0.2,Strasbourg,20215,Stade de Nice,Jeremy Stinat,/en/matches/17e9722e/Nice-Strasbourg-September-3-2023-Ligue-1,,17e9722e
FRA-Ligue 1,2324,2023-09-03 Toulouse-Clermont Foot,Ligue 1,4,Sun,2023-09-03,13:00,Toulouse,0.6,2–2,1.8,Clermont Foot,28285,Stadium Municipal,Florent Batta,/en/matches/12bf8242/Toulouse-Clermont-Foot-September-3-2023-Ligue-1,,12bf8242
FRA-Ligue 1,2324,2023-09-15 Paris S-G-Nice,Ligue 1,5,Fri,2023-09-15,21:00,Paris S-G,1.0,2–3,1.3,Nice,47874,Parc des Princes,Clément Turpin,/en/matches/f0478368/Paris-Saint-Germain-Nice-September-15-2023-Ligue-1,,f0478368
FRA-Ligue 1,2324,2023-09-16 Lens-Metz,Ligue 1,5,Sat,2023-09-16,21:00,Lens,2.0,0–1,0.3,Metz,37988,Stade Bollaert-Delelis,Stéphanie Frappart,/en/matches/40754c32/Lens-Metz-September-16-2023-Ligue-1,,40754c32
FRA-Ligue 1,2324,2023-09-16 Rennes-Lille,Ligue 1,5,Sat,2023-09-16,17:00,Rennes,0.5,2–2,1.0,Lille,28178,Roazhon Park,Jérôme Brisard,/en/matches/d419c313/Rennes-Lille-September-16-2023-Ligue-1,,d419c313
FRA-Ligue 1,2324,2023-09-17 Clermont Foot-Nantes,Ligue 1,5,Sun,2023-09-17,15:00,Clermont Foot,1.3,0–1,0.6,Nantes,9775,Stade Gabriel Montpied,Thomas Léonard,/en/matches/6a2c2932/Clermont-Foot-Nantes-September-17-2023-Ligue-1,,6a2c2932
FRA-Ligue 1,2324,2023-09-17 Lorient-Monaco,Ligue 1,5,Sun,2023-09-17,13:00,Lorient,0.9,2–2,1.7,Monaco,15247,Stade du Moustoir,Marc Bollengier,/en/matches/2cbf9481/Lorient-Monaco-September-17-2023-Ligue-1,,2cbf9481
