,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2122,Arminia,Alessandro Schöpf,AUT,MF,27,1994,31,27,2397,26.6,1,0,1,1,0,0,3,1,2.0,2.0,2.6,4.6,57,96,91,0.04,0.0,0.04,0.04,0.04,0.07,0.1,0.17,0.07,0.17
GER-Bundesliga,2122,Arminia,Amos Pieper,GER,DF,23,1998,27,27,2379,26.4,0,0,0,0,0,0,2,0,0.8,0.8,0.3,1.1,7,63,3,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04
GER-Bundesliga,2122,Arminia,Andrés Andrade Cedeño,PAN,DF,22,1998,17,12,1046,11.6,0,0,0,0,0,0,4,0,0.3,0.3,0.1,0.4,18,44,15,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.04,0.02,0.04
GER-Bundesliga,2122,Arminia,Bryan Lasme,FRA,FW,22,1998,23,7,877,9.7,2,0,2,2,0,0,2,0,0.8,0.8,0.4,1.2,21,7,67,0.21,0.0,0.21,0.21,0.21,0.08,0.04,0.12,0.08,0.12
GER-Bundesliga,2122,Arminia,Burak İnce,TUR,FW,17,2004,5,1,139,1.5,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.6,4,1,12,0.0,0.0,0.0,0.0,0.0,0.34,0.02,0.36,0.34,0.36
GER-Bundesliga,2122,Arminia,Cédric Brunner,SUI,DF,27,1994,27,26,2183,24.3,0,1,1,0,0,0,6,0,0.2,0.2,1.2,1.5,23,82,45,0.0,0.04,0.04,0.0,0.04,0.01,0.05,0.06,0.01,0.06
GER-Bundesliga,2122,Arminia,Edimilson Fernandes,SUI,"MF,FW",25,1996,7,2,283,3.1,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,12,21,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09
GER-Bundesliga,2122,Arminia,Fabian Klos,GER,FW,33,1987,25,14,1420,15.8,3,1,4,1,2,2,2,1,4.6,3.0,1.0,4.0,13,43,74,0.19,0.06,0.25,0.06,0.13,0.29,0.07,0.36,0.19,0.26
GER-Bundesliga,2122,Arminia,Fabian Kunze,GER,MF,23,1998,22,13,1260,14.0,0,0,0,0,0,0,9,0,0.4,0.4,0.3,0.7,4,58,8,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05
GER-Bundesliga,2122,Arminia,Florian Krüger,GER,"FW,MF",22,1999,27,12,1129,12.5,1,2,3,1,0,0,0,0,1.2,1.2,1.3,2.4,21,19,72,0.08,0.16,0.24,0.08,0.24,0.1,0.1,0.2,0.1,0.2
GER-Bundesliga,2122,Arminia,George Bello,USA,DF,19,2002,10,3,434,4.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,9,13,18,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
GER-Bundesliga,2122,Arminia,Gonzalo Castro,GER,"MF,FW",34,1987,12,4,436,4.8,1,1,2,1,0,0,0,0,0.8,0.8,0.4,1.2,7,13,15,0.21,0.21,0.41,0.21,0.41,0.17,0.07,0.24,0.17,0.24
GER-Bundesliga,2122,Arminia,Guilherme Ramos,POR,DF,23,1997,13,9,906,10.1,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.3,5,32,9,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03
GER-Bundesliga,2122,Arminia,Jacob Barrett Laursen,DEN,DF,26,1994,24,20,1632,18.1,2,0,2,2,0,0,1,0,0.2,0.2,0.4,0.7,25,42,24,0.11,0.0,0.11,0.11,0.11,0.01,0.02,0.04,0.01,0.04
GER-Bundesliga,2122,Arminia,Janni Serra,GER,FW,23,1998,26,15,1117,12.4,3,2,5,3,0,0,1,0,3.2,3.2,0.8,4.0,7,14,62,0.24,0.16,0.4,0.24,0.4,0.26,0.06,0.32,0.26,0.32
GER-Bundesliga,2122,Arminia,Joakim Nilsson,SWE,DF,27,1994,31,31,2735,30.4,2,0,2,2,0,0,5,0,0.4,0.4,0.3,0.8,12,68,2,0.07,0.0,0.07,0.07,0.07,0.01,0.01,0.03,0.01,0.03
GER-Bundesliga,2122,Arminia,Lennart-Marten Czyborra,GER,DF,22,1999,4,1,131,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,Arminia,Manuel Prietl,AUT,MF,29,1991,26,23,2123,23.6,0,1,1,0,0,0,3,0,1.0,1.0,0.7,1.7,15,46,8,0.0,0.04,0.04,0.0,0.04,0.04,0.03,0.07,0.04,0.07
GER-Bundesliga,2122,Arminia,Masaya Okugawa,JPN,"MF,FW",25,1996,33,30,2531,28.1,8,1,9,8,0,0,0,0,3.9,3.9,1.4,5.3,40,47,121,0.28,0.04,0.32,0.28,0.32,0.14,0.05,0.19,0.14,0.19
GER-Bundesliga,2122,Arminia,Mike van der Hoorn,NED,DF,28,1992,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GER-Bundesliga,2122,Arminia,Nathan de Medina,BEL,DF,23,1997,19,7,775,8.6,0,0,0,0,0,0,2,0,0.2,0.2,0.0,0.2,3,11,7,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03
GER-Bundesliga,2122,Arminia,Patrick Wimmer,AUT,"FW,MF",20,2001,31,27,2052,22.8,3,6,9,3,0,0,7,0,3.7,3.7,3.8,7.5,64,76,105,0.13,0.26,0.39,0.13,0.39,0.16,0.17,0.33,0.16,0.33
