,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2223,Augsburg,Aaron Zehnter,GER,DF,17,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2223,Augsburg,André Hahn,GER,"FW,MF",31,1990,4.3,2,7,2,28.6,1.61,0.46,0.29,1.0,21.4,0,0,0,0.4,0.4,0.06,1.6,1.6
GER-Bundesliga,2223,Augsburg,Arne Engels,BEL,MF,18,2003,16.0,0,17,2,11.8,1.06,0.12,0.0,0.0,26.8,2,0,0,0.6,0.6,0.03,-0.6,-0.6
GER-Bundesliga,2223,Augsburg,Arne Maier,GER,MF,23,1999,21.8,5,28,10,35.7,1.29,0.46,0.18,0.5,21.1,3,0,0,1.6,1.6,0.06,3.4,3.4
GER-Bundesliga,2223,Augsburg,Carlos Gruezo,ECU,MF,27,1995,10.7,0,2,0,0.0,0.19,0.0,0.0,,32.1,0,0,0,0.0,0.0,0.02,0.0,0.0
GER-Bundesliga,2223,Augsburg,Daniel Caligiuri,ITA,"DF,MF",34,1988,3.2,1,6,2,33.3,1.86,0.62,0.17,0.5,19.8,0,0,0,0.4,0.4,0.07,0.6,0.6
GER-Bundesliga,2223,Augsburg,David Čolina,CRO,"DF,FW",22,2000,1.8,1,1,1,100.0,0.54,0.54,1.0,1.0,8.4,0,0,0,0.4,0.4,0.44,0.6,0.6
GER-Bundesliga,2223,Augsburg,Dion Drena Beljo,CRO,FW,20,2002,12.5,3,13,5,38.5,1.04,0.4,0.23,0.6,15.2,0,0,0,1.6,1.6,0.12,1.4,1.4
GER-Bundesliga,2223,Augsburg,Elvis Rexhbeçaj,KVX,MF,24,1997,28.0,0,16,5,31.3,0.57,0.18,0.0,0.0,27.0,0,0,0,0.3,0.3,0.02,-0.3,-0.3
GER-Bundesliga,2223,Augsburg,Ermedin Demirović,BIH,"FW,MF",24,1998,26.3,8,63,23,36.5,2.4,0.87,0.11,0.3,15.2,0,1,1,7.5,6.8,0.11,0.5,0.2
GER-Bundesliga,2223,Augsburg,Florian Niederlechner,GER,"FW,MF",31,1990,10.1,4,28,15,53.6,2.77,1.48,0.14,0.27,15.7,0,0,0,2.9,2.9,0.1,1.1,1.1
GER-Bundesliga,2223,Augsburg,Frederik Winther,DEN,DF,21,2001,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2223,Augsburg,Fredrik Jensen,FIN,"FW,MF",24,1997,10.3,2,11,3,27.3,1.07,0.29,0.18,0.67,16.6,0,0,0,1.8,1.8,0.16,0.2,0.2
GER-Bundesliga,2223,Augsburg,Iago,BRA,"DF,MF",25,1997,17.8,0,9,0,0.0,0.51,0.0,0.0,,19.2,0,0,0,0.4,0.4,0.04,-0.4,-0.4
GER-Bundesliga,2223,Augsburg,Irvin Cardona,MLT,"MF,FW",24,1997,3.5,1,9,4,44.4,2.55,1.13,0.11,0.25,13.9,0,0,0,1.9,1.9,0.21,-0.9,-0.9
GER-Bundesliga,2223,Augsburg,Jeffrey Gouweleeuw,NED,DF,31,1991,31.1,0,15,4,26.7,0.48,0.13,0.0,0.0,15.4,0,0,0,1.4,1.4,0.1,-1.4,-1.4
GER-Bundesliga,2223,Augsburg,Julian Baumgartlinger,AUT,MF,34,1988,6.2,0,3,0,0.0,0.49,0.0,0.0,,18.2,0,0,0,0.3,0.3,0.09,-0.3,-0.3
GER-Bundesliga,2223,Augsburg,Kelvin Yeboah,ITA,"FW,MF",22,2000,3.9,1,13,2,15.4,3.31,0.51,0.08,0.5,12.8,0,0,0,1.4,1.4,0.11,-0.4,-0.4
GER-Bundesliga,2223,Augsburg,Lukas Petkov,BUL,"MF,FW",21,2000,1.6,0,2,0,0.0,1.23,0.0,0.0,,29.6,0,0,0,0.0,0.0,0.02,0.0,0.0
GER-Bundesliga,2223,Augsburg,Mads Pedersen,DEN,"DF,MF",25,1996,20.4,0,9,0,0.0,0.44,0.0,0.0,,23.3,1,0,0,0.4,0.4,0.04,-0.4,-0.4
GER-Bundesliga,2223,Augsburg,Maximilian Bauer,GER,DF,22,2000,20.5,0,8,0,0.0,0.39,0.0,0.0,,8.5,0,0,0,1.6,1.6,0.2,-1.6,-1.6
GER-Bundesliga,2223,Augsburg,Mergim Berisha,GER,FW,24,1998,18.7,9,51,13,25.5,2.73,0.7,0.12,0.46,18.7,6,3,4,8.1,5.0,0.1,0.9,1.0
GER-Bundesliga,2223,Augsburg,Nathanael Mbuku,COD,"MF,FW",20,2002,0.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2223,Augsburg,Niklas Dorsch,GER,MF,24,1998,5.4,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
GER-Bundesliga,2223,Augsburg,Noah Joel Sarenren Bazee,NGA,"MF,FW",25,1996,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
