,,,players_used,Age,Poss,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,url
,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,
league,season,team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2223,Augsburg,34,25.9,41.7,34,374,3060,34,41,29,70,37,4,5,96,5,34.7,30.9,24.3,55.2,331,847,1.21,0.85,2.06,1.09,1.94,1.02,0.71,1.74,0.91,1.62,/en/squads/0cdc4311/2022-2023/Augsburg-Stats
GER-Bundesliga,2223,Bayern Munich,28,26.6,64.2,34,374,3060,34,90,67,157,87,3,5,49,3,75.0,71.0,56.6,127.7,863,2041,2.65,1.97,4.62,2.56,4.53,2.2,1.67,3.87,2.09,3.75,/en/squads/054efa67/2022-2023/Bayern-Munich-Stats
GER-Bundesliga,2223,Bochum,26,29.4,46.1,34,374,3060,34,37,28,65,34,3,3,64,1,40.0,37.7,28.4,66.0,350,1022,1.09,0.82,1.91,1.0,1.82,1.18,0.83,2.01,1.11,1.94,/en/squads/b42c6323/2022-2023/Bochum-Stats
GER-Bundesliga,2223,Dortmund,30,25.8,58.2,34,374,3060,34,81,61,142,77,4,6,66,0,71.1,66.5,51.9,118.4,783,1628,2.38,1.79,4.18,2.26,4.06,2.09,1.53,3.62,1.96,3.48,/en/squads/add600ae/2022-2023/Dortmund-Stats
GER-Bundesliga,2223,Eint Frankfurt,28,26.4,52.9,34,374,3060,34,56,33,89,50,6,6,71,1,52.1,47.4,36.2,83.5,632,1372,1.65,0.97,2.62,1.47,2.44,1.53,1.06,2.6,1.39,2.46,/en/squads/f0ac8ee6/2022-2023/Eintracht-Frankfurt-Stats
GER-Bundesliga,2223,Freiburg,27,27.4,48.1,34,374,3060,34,51,34,85,44,7,8,62,2,47.9,41.6,28.5,70.1,427,1039,1.5,1.0,2.5,1.29,2.29,1.41,0.84,2.25,1.22,2.06,/en/squads/a486e511/2022-2023/Freiburg-Stats
GER-Bundesliga,2223,Gladbach,27,26.8,53.7,34,374,3060,34,52,39,91,48,4,6,62,3,52.1,47.5,41.2,88.7,518,1168,1.53,1.15,2.68,1.41,2.56,1.53,1.21,2.74,1.4,2.61,/en/squads/32f3ee20/2022-2023/Monchengladbach-Stats
GER-Bundesliga,2223,Hertha BSC,32,26.0,42.0,34,374,3060,34,42,23,65,35,7,7,82,1,39.4,33.9,25.3,59.2,413,914,1.24,0.68,1.91,1.03,1.71,1.16,0.74,1.9,1.0,1.74,/en/squads/2818f8bc/2022-2023/Hertha-BSC-Stats
GER-Bundesliga,2223,Hoffenheim,31,26.8,48.3,34,374,3060,34,46,30,76,39,7,9,80,5,48.0,41.1,32.4,73.4,457,1175,1.35,0.88,2.24,1.15,2.03,1.41,0.95,2.36,1.21,2.16,/en/squads/033ea6b8/2022-2023/Hoffenheim-Stats
GER-Bundesliga,2223,Köln,27,26.0,49.9,34,374,3060,34,46,31,77,42,4,4,75,3,47.9,44.7,35.1,79.9,522,1247,1.35,0.91,2.26,1.24,2.15,1.41,1.03,2.44,1.32,2.35,/en/squads/bc357bf7/2022-2023/Koln-Stats
GER-Bundesliga,2223,Leverkusen,27,24.7,52.0,34,374,3060,34,57,44,101,52,5,7,75,7,51.4,46.0,38.9,85.0,678,1243,1.68,1.29,2.97,1.53,2.82,1.51,1.15,2.66,1.35,2.5,/en/squads/c7a9f859/2022-2023/Bayer-Leverkusen-Stats
GER-Bundesliga,2223,Mainz 05,27,27.0,44.8,34,374,3060,34,54,35,89,50,4,6,69,1,47.1,42.4,30.0,72.4,364,1155,1.59,1.03,2.62,1.47,2.5,1.39,0.88,2.27,1.25,2.13,/en/squads/a224b06a/2022-2023/Mainz-05-Stats
GER-Bundesliga,2223,RB Leipzig,25,26.3,58.1,34,374,3060,34,64,39,103,58,6,7,69,2,62.7,57.4,43.2,100.6,599,1450,1.88,1.15,3.03,1.71,2.85,1.84,1.27,3.11,1.69,2.96,/en/squads/acbb6a5b/2022-2023/RB-Leipzig-Stats
GER-Bundesliga,2223,Schalke 04,35,27.5,46.0,34,374,3060,34,32,24,56,28,4,5,68,1,39.6,35.9,28.7,64.6,415,934,0.94,0.71,1.65,0.82,1.53,1.16,0.84,2.01,1.06,1.9,/en/squads/c539e393/2022-2023/Schalke-04-Stats
GER-Bundesliga,2223,Stuttgart,30,24.7,50.2,34,374,3060,34,45,34,79,40,5,5,72,5,47.6,43.7,38.1,81.7,609,1278,1.32,1.0,2.32,1.18,2.18,1.4,1.12,2.52,1.28,2.4,/en/squads/598bc722/2022-2023/Stuttgart-Stats
GER-Bundesliga,2223,Union Berlin,28,27.9,43.8,34,374,3060,34,49,38,87,46,3,7,65,2,37.9,32.5,25.9,58.4,375,1012,1.44,1.12,2.56,1.35,2.47,1.12,0.76,1.88,0.95,1.72,/en/squads/7a41008f/2022-2023/Union-Berlin-Stats
GER-Bundesliga,2223,Werder Bremen,25,27.4,49.3,34,374,3060,34,50,37,87,45,5,6,76,1,41.1,36.4,29.0,65.4,412,1140,1.47,1.09,2.56,1.32,2.41,1.21,0.85,2.06,1.07,1.92,/en/squads/62add3bf/2022-2023/Werder-Bremen-Stats
GER-Bundesliga,2223,Wolfsburg,28,24.8,50.6,34,374,3060,34,55,44,99,51,4,7,63,0,51.3,45.8,39.2,84.9,455,1306,1.62,1.29,2.91,1.5,2.79,1.51,1.15,2.66,1.35,2.5,/en/squads/4eaa11d7/2022-2023/Wolfsburg-Stats
