,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Augsburg,Arne Engels,BEL,"MF,DF",19,2003,15.6,394,587,67.1,7179,2583,171,213,80.3,160,210,76.2,50,113,44.2,2,1.2,1.8,0.8,19,35,17,6,52
GER-Bundesliga,2324,Augsburg,Arne Maier,GER,MF,24,1999,11.1,449,593,75.7,8314,2523,183,212,86.3,182,227,80.2,68,115,59.1,4,2.3,2.8,1.7,28,49,27,8,64
GER-Bundesliga,2324,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21,2002,6.5,115,160,71.9,1717,335,55,77,71.4,47,59,79.7,4,6,66.7,0,0.5,0.8,-0.5,8,5,8,1,20
GER-Bundesliga,2324,Augsburg,Elvis Rexhbeçaj,KVX,MF,25,1997,22.1,523,709,73.8,8584,2372,240,297,80.8,212,272,77.9,44,75,58.7,0,0.5,1.3,-0.5,13,63,18,5,91
GER-Bundesliga,2324,Augsburg,Ermedin Demirović,BIH,"FW,MF",25,1998,31.9,371,574,64.6,4996,1174,202,289,69.9,129,165,78.2,8,14,57.1,9,3.9,3.7,5.1,33,40,17,1,60
GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25,1998,31.0,1025,1345,76.2,27889,18248,166,168,98.8,556,566,98.2,299,600,49.8,0,0.1,0.2,-0.1,1,44,1,0,3
GER-Bundesliga,2324,Augsburg,Fredrik Jensen,FIN,"MF,FW",25,1997,14.9,290,476,60.9,5090,2039,143,190,75.3,98,136,72.1,37,93,39.8,4,4.3,4.9,-0.3,32,30,14,5,46
GER-Bundesliga,2324,Augsburg,Iago,BRA,DF,26,1997,18.0,536,735,72.9,9641,4071,240,278,86.3,217,293,74.1,63,109,57.8,1,1.6,2.9,-0.6,17,51,27,16,54
GER-Bundesliga,2324,Augsburg,Irvin Cardona,MLT,"MF,DF",25,1997,0.6,8,15,53.3,132,70,4,4,100.0,4,9,44.4,0,1,0.0,0,0.0,0.1,0.0,0,1,0,0,2
GER-Bundesliga,2324,Augsburg,Jeffrey Gouweleeuw,NED,DF,32,1991,28.8,1147,1490,77.0,24503,10362,334,375,89.1,636,711,89.5,167,354,47.2,0,1.8,1.6,-1.8,15,156,19,3,143
GER-Bundesliga,2324,Augsburg,Kevin Mbabu,SUI,DF,28,1995,22.7,644,1020,63.1,11482,5396,288,365,78.9,274,419,65.4,69,167,41.3,2,1.9,3.9,0.1,20,64,30,20,84
GER-Bundesliga,2324,Augsburg,Kristijan Jakić,CRO,MF,26,1997,11.7,398,503,79.1,6984,2584,160,194,82.5,184,219,84.0,38,60,63.3,1,0.3,0.8,0.7,7,41,8,0,56
GER-Bundesliga,2324,Augsburg,Mads Pedersen,DEN,DF,26,1996,19.8,637,853,74.7,10860,3963,313,351,89.2,249,349,71.3,59,97,60.8,1,1.5,2.1,-0.5,12,46,21,8,66
GER-Bundesliga,2324,Augsburg,Mahmut Kücüksahin,,MF,19,2004,0.0,4,4,100.0,59,17,3,3,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
GER-Bundesliga,2324,Augsburg,Masaya Okugawa,JPN,"FW,DF",27,1996,0.4,7,11,63.6,102,22,5,7,71.4,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
GER-Bundesliga,2324,Augsburg,Maximilian Bauer,GER,DF,23,2000,9.0,423,491,86.2,7834,2619,146,159,91.8,240,265,90.6,30,55,54.5,0,0.0,0.1,0.0,0,28,0,0,25
GER-Bundesliga,2324,Augsburg,Mergim Berisha,GER,FW,25,1998,1.4,10,14,71.4,142,73,6,8,75.0,2,3,66.7,1,1,100.0,0,0.1,0.1,-0.1,2,1,1,1,1
GER-Bundesliga,2324,Augsburg,Mert Kömür,GER,"MF,DF",18,2005,1.3,30,34,88.2,462,132,17,19,89.5,9,9,100.0,2,2,100.0,0,0.0,0.1,0.0,1,1,2,0,4
GER-Bundesliga,2324,Augsburg,Nathanael Mbuku,COD,FW,21,2002,0.1,6,7,85.7,62,16,5,6,83.3,0,0,,0,0,,0,0.0,0.0,0.0,1,2,0,0,1
GER-Bundesliga,2324,Augsburg,Niklas Dorsch,GER,MF,25,1998,15.4,545,628,86.8,9719,2395,230,248,92.7,264,288,91.7,45,75,60.0,0,0.1,0.3,-0.1,3,41,2,1,47
GER-Bundesliga,2324,Augsburg,Ohis Felix Uduokhai,GER,DF,25,1997,32.5,1349,1658,81.4,25826,9681,477,549,86.9,725,815,89.0,132,261,50.6,0,0.8,1.3,-0.8,9,93,5,0,101
GER-Bundesliga,2324,Augsburg,Patric Pfeiffer,GER,DF,23,1999,5.7,193,267,72.3,4034,1515,56,65,86.2,105,132,79.5,30,58,51.7,1,0.8,0.6,0.2,4,15,3,1,19
GER-Bundesliga,2324,Augsburg,Pep Biel,ESP,"MF,FW",26,1996,3.2,99,123,80.5,1673,542,51,54,94.4,32,41,78.0,11,19,57.9,0,0.2,0.3,-0.2,4,15,4,2,16
GER-Bundesliga,2324,Augsburg,Phillip Tietz,GER,FW,26,1997,26.5,332,534,62.2,4822,1198,191,280,68.2,101,152,66.4,22,36,61.1,4,2.6,3.4,1.4,29,32,15,1,51
GER-Bundesliga,2324,Augsburg,Robert Gumny,POL,DF,25,1998,5.3,138,195,70.8,2584,1192,55,72,76.4,65,92,70.7,15,22,68.2,0,0.1,0.2,-0.1,2,7,1,1,18
GER-Bundesliga,2324,Augsburg,Ruben Vargas,SUI,"MF,FW",24,1998,21.8,474,684,69.3,7631,2104,232,288,80.6,189,260,72.7,32,70,45.7,5,2.4,3.2,2.6,26,30,30,5,77
