,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2324,Augsburg,Arne Engels,BEL,"MF,DF",19,2003,32,1405,44,45.9,15.6,13,74,2,19,23,0,1.22,25,21,4,0.26,1.02,23.0,25.9,-2.9,-0.19,0.27
GER-Bundesliga,2324,Augsburg,Arne Maier,GER,MF,24,1999,22,1003,46,32.8,11.1,10,77,3,12,19,5,1.0,20,19,1,0.09,0.57,17.6,21.1,-3.5,-0.31,0.03
GER-Bundesliga,2324,Augsburg,Daniel Hausmann,GER,MF,20,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
GER-Bundesliga,2324,Augsburg,David Deger,GER,MF,23,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
GER-Bundesliga,2324,Augsburg,David Čolina,CRO,"DF,MF",23,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
GER-Bundesliga,2324,Augsburg,Dion Drena Beljo,CRO,"FW,MF",21,2002,26,581,22,19.0,6.5,3,74,1,23,16,5,1.12,10,14,-4,-0.62,-0.4,9.7,13.5,-3.8,-0.58,-0.31
GER-Bundesliga,2324,Augsburg,Elvis Rexhbeçaj,KVX,MF,25,1997,25,1985,79,64.9,22.1,24,81,14,1,31,1,1.2,29,40,-11,-0.5,-0.58,27.1,35.1,-8.0,-0.36,-0.09
GER-Bundesliga,2324,Augsburg,Ermedin Demirović,BIH,"FW,MF",25,1998,33,2873,87,93.9,31.9,33,87,23,0,,0,1.15,47,56,-9,-0.28,0.2,42.9,52.3,-9.4,-0.29,0.63
GER-Bundesliga,2324,Augsburg,Finn Dahmen,GER,GK,25,1998,31,2790,90,91.2,31.0,31,90,31,0,,0,1.26,48,52,-4,-0.13,1.87,41.8,49.1,-7.3,-0.24,1.09
GER-Bundesliga,2324,Augsburg,Frederik Winther,DEN,DF,22,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
GER-Bundesliga,2324,Augsburg,Fredrik Jensen,FIN,"MF,FW",25,1997,22,1338,61,43.7,14.9,18,70,0,4,19,2,1.45,26,22,4,0.27,1.0,19.0,20.8,-1.8,-0.12,0.38
GER-Bundesliga,2324,Augsburg,Iago,BRA,DF,26,1997,23,1622,71,53.0,18.0,18,82,12,5,29,0,1.43,29,20,9,0.5,1.69,22.9,25.6,-2.7,-0.15,0.39
GER-Bundesliga,2324,Augsburg,Irvin Cardona,MLT,"MF,DF",25,1997,3,54,18,1.8,0.6,0,,0,3,18,1,0.33,2,1,1,1.67,2.0,1.1,1.4,-0.3,-0.55,-0.22
GER-Bundesliga,2324,Augsburg,Japhet Tanganga,ENG,DF,24,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,
