league,season,game,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
ITA-Serie A,2122,2021-08-21 Empoli-Lazio,1,Sat,2021-08-21,20:45,Empoli,1.2,1–3,1.5,Lazio,3655,Stadio Carlo Castellani,Simone Sozza,/en/matches/e057a19f/Empoli-Lazio-August-21-2021-Serie-A,,e057a19f
ITA-Serie A,2122,2021-08-21 Hellas Verona-Sassuolo,1,Sat,2021-08-21,18:30,Hellas Verona,2.4,2–3,1.6,Sassuolo,5448,Stadio Marc'Antonio Bentegodi,Manuel Volpi,/en/matches/81074285/Hellas-Verona-Sassuolo-August-21-2021-Serie-A,,81074285
ITA-Serie A,2122,2021-08-21 Inter-Genoa,1,Sat,2021-08-21,18:30,Inter,1.6,4–0,1.1,Genoa,27402,Stadio Giuseppe Meazza,Valerio Marini,/en/matches/5c162318/Internazionale-Genoa-August-21-2021-Serie-A,,5c162318
ITA-Serie A,2122,2021-08-21 Torino-Atalanta,1,Sat,2021-08-21,20:45,Torino,1.3,1–2,0.7,Atalanta,3475,Stadio Olimpico di Torino,Daniele Chiffi,/en/matches/0465e44e/Torino-Atalanta-August-21-2021-Serie-A,,0465e44e
ITA-Serie A,2122,2021-08-22 Bologna-Salernitana,1,Sun,2021-08-22,18:30,Bologna,1.6,3–2,1.5,Salernitana,8375,Stadio Renato Dall'Ara,Antonio Rapuano,/en/matches/015e7a96/Bologna-Salernitana-August-22-2021-Serie-A,,015e7a96
ITA-Serie A,2122,2021-08-22 Napoli-Venezia,1,Sun,2021-08-22,20:45,Napoli,2.2,2–0,0.6,Venezia,20000,Stadio Diego Armando Maradona,Gianluca Aureliano,/en/matches/cca0edfd/Napoli-Venezia-August-22-2021-Serie-A,,cca0edfd
ITA-Serie A,2122,2021-08-22 Roma-Fiorentina,1,Sun,2021-08-22,20:45,Roma,2.7,3–1,1.3,Fiorentina,26997,Stadio Olimpico,Luca Pairetto,/en/matches/dabdad9f/Roma-Fiorentina-August-22-2021-Serie-A,,dabdad9f
ITA-Serie A,2122,2021-08-22 Udinese-Juventus,1,Sun,2021-08-22,18:30,Udinese,1.6,2–2,0.8,Juventus,9660,Dacia Arena,Ivan Pezzuto,/en/matches/3d5b1245/Udinese-Juventus-August-22-2021-Serie-A,,3d5b1245
ITA-Serie A,2122,2021-08-23 Cagliari-Spezia,1,Mon,2021-08-23,18:30,Cagliari,2.8,2–2,0.8,Spezia,5387,Unipol Domus,Francesco Fourneau,/en/matches/b2c86bfc/Cagliari-Spezia-August-23-2021-Serie-A,,b2c86bfc
ITA-Serie A,2122,2021-08-23 Sampdoria-Milan,1,Mon,2021-08-23,20:45,Sampdoria,1.1,0–1,0.9,Milan,5000,Stadio Comunale Luigi Ferraris,Marco Guida,/en/matches/2e04a6c0/Sampdoria-Milan-August-23-2021-Serie-A,,2e04a6c0
ITA-Serie A,2122,2021-08-27 Hellas Verona-Inter,2,Fri,2021-08-27,20:45,Hellas Verona,1.0,1–3,1.5,Inter,11214,Stadio Marc'Antonio Bentegodi,Gianluca Manganiello,/en/matches/c8bd861a/Hellas-Verona-Internazionale-August-27-2021-Serie-A,,c8bd861a
ITA-Serie A,2122,2021-08-27 Udinese-Venezia,2,Fri,2021-08-27,18:30,Udinese,2.2,3–0,1.2,Venezia,8274,Dacia Arena,Livio Marinelli,/en/matches/2747c144/Udinese-Venezia-August-27-2021-Serie-A,,2747c144
ITA-Serie A,2122,2021-08-28 Atalanta-Bologna,2,Sat,2021-08-28,18:30,Atalanta,0.9,0–0,0.3,Bologna,7912,Stadio Atleti Azzurri d'Italia,Daniele Orsato,/en/matches/b8799a66/Atalanta-Bologna-August-28-2021-Serie-A,,b8799a66
ITA-Serie A,2122,2021-08-28 Fiorentina-Torino,2,Sat,2021-08-28,20:45,Fiorentina,0.8,2–1,0.4,Torino,12592,Stadio Artemio Franchi,Maurizio Mariani,/en/matches/27657443/Fiorentina-Torino-August-28-2021-Serie-A,,27657443
ITA-Serie A,2122,2021-08-28 Juventus-Empoli,2,Sat,2021-08-28,20:45,Juventus,1.2,0–1,0.7,Empoli,17584,Allianz Stadium,Davide Ghersini,/en/matches/4112adb3/Juventus-Empoli-August-28-2021-Serie-A,,4112adb3
ITA-Serie A,2122,2021-08-28 Lazio-Spezia,2,Sat,2021-08-28,18:30,Lazio,3.0,6–1,1.0,Spezia,20000,Stadio Olimpico,Federico Dionisi,/en/matches/cbe9b1ae/Lazio-Spezia-August-28-2021-Serie-A,,cbe9b1ae
ITA-Serie A,2122,2021-08-29 Genoa-Napoli,2,Sun,2021-08-29,18:30,Genoa,0.4,1–2,1.1,Napoli,20000,Stadio Comunale Luigi Ferraris,Marco Di Bello,/en/matches/744087da/Genoa-Napoli-August-29-2021-Serie-A,,744087da
ITA-Serie A,2122,2021-08-29 Milan-Cagliari,2,Sun,2021-08-29,20:45,Milan,2.7,4–1,0.6,Cagliari,31946,Stadio Giuseppe Meazza,Marco Serra,/en/matches/0f78d641/Milan-Cagliari-August-29-2021-Serie-A,,0f78d641
ITA-Serie A,2122,2021-08-29 Salernitana-Roma,2,Sun,2021-08-29,20:45,Salernitana,0.3,0–4,2.1,Roma,12500,Stadio Arechi,Rosario Abisso,/en/matches/3a200383/Salernitana-Roma-August-29-2021-Serie-A,,3a200383
ITA-Serie A,2122,2021-08-29 Sassuolo-Sampdoria,2,Sun,2021-08-29,18:30,Sassuolo,1.6,0–0,0.5,Sampdoria,3309,Mapei Stadium - Città del Tricolore,Juan Sacchi,/en/matches/4637a73f/Sassuolo-Sampdoria-August-29-2021-Serie-A,,4637a73f
ITA-Serie A,2122,2021-09-11 Atalanta-Fiorentina,3,Sat,2021-09-11,20:45,Atalanta,2.2,1–2,1.8,Fiorentina,9162,Stadio Atleti Azzurri d'Italia,Valerio Marini,/en/matches/7559e08b/Atalanta-Fiorentina-September-11-2021-Serie-A,,7559e08b
ITA-Serie A,2122,2021-09-11 Empoli-Venezia,3,Sat,2021-09-11,15:00,Empoli,1.9,1–2,1.7,Venezia,2511,Stadio Carlo Castellani,Antonio Rapuano,/en/matches/0d2de0b9/Empoli-Venezia-September-11-2021-Serie-A,,0d2de0b9
ITA-Serie A,2122,2021-09-11 Napoli-Juventus,3,Sat,2021-09-11,18:00,Napoli,2.1,2–1,1.2,Juventus,23500,Stadio Diego Armando Maradona,Massimiliano Irrati,/en/matches/4e0811bf/Napoli-Juventus-September-11-2021-Serie-A,,4e0811bf
