,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2223,Atalanta,Ademola Lookman,NGA,"FW,MF",24,1997,31,1729,56,50.6,19.2,20,73,3,11,25,1,1.65,38,23,15,0.78,0.62,34.7,20.9,13.8,0.72,0.58
ITA-Serie A,2223,Atalanta,Alessandro Falleni,ITA,FW,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA-Serie A,2223,Atalanta,Berat Djimsiti,ALB,DF,29,1993,24,1797,75,52.5,20.0,20,85,16,4,23,5,1.42,27,23,4,0.2,-0.58,26.1,21.6,4.5,0.23,-0.42
ITA-Serie A,2223,Atalanta,Brandon Soppy,FRA,DF,20,2002,15,643,43,18.8,7.1,8,64,1,7,19,18,1.53,10,9,1,0.14,-0.41,11.4,4.9,6.5,0.9,0.58
ITA-Serie A,2223,Atalanta,Caleb Okoli,ITA,DF,21,2001,17,960,56,28.1,10.7,9,85,8,8,24,19,1.76,19,10,9,0.84,0.51,17.3,9.7,7.6,0.72,0.4
ITA-Serie A,2223,Atalanta,Davide Zappacosta,ITA,DF,30,1992,21,1471,70,43.0,16.3,18,76,9,3,34,1,1.81,34,22,12,0.73,0.46,25.6,17.0,8.7,0.53,0.18
ITA-Serie A,2223,Atalanta,Duván Zapata,COL,FW,31,1991,25,1390,56,40.6,15.4,16,73,5,9,25,0,1.68,18,20,-2,-0.13,-1.02,17.7,18.2,-0.5,-0.03,-0.78
ITA-Serie A,2223,Atalanta,Endri Muhameti,ALB,MF,18,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
ITA-Serie A,2223,Atalanta,Francesco Rossi,ITA,GK,31,1991,1,4,4,0.1,0.0,0,,0,1,4,36,3.0,1,0,1,22.5,22.05,0.3,0.0,0.3,7.87,7.45
ITA-Serie A,2223,Atalanta,Giorgio Scalvini,ITA,DF,18,2003,32,2335,73,68.3,25.9,29,79,15,3,19,4,1.75,46,35,11,0.42,-0.16,36.8,29.9,6.9,0.27,-0.51
ITA-Serie A,2223,Atalanta,Hans Hateboer,NED,DF,28,1994,17,1397,82,40.8,15.5,17,82,11,0,,4,1.82,22,16,6,0.39,-0.15,21.3,17.4,3.9,0.25,-0.3
ITA-Serie A,2223,Atalanta,Iacopo Regonesi,ITA,DF,18,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ITA-Serie A,2223,Atalanta,Jeremie Boga,CIV,"MF,FW",25,1997,23,782,34,22.9,8.7,5,70,1,18,24,10,1.57,19,14,5,0.58,0.13,14.9,9.0,5.9,0.68,0.33
ITA-Serie A,2223,Atalanta,Joakim Mæhle,DEN,"DF,MF",25,1997,34,2209,65,64.6,24.5,25,82,12,9,19,2,1.62,39,33,6,0.24,-0.65,36.7,30.4,6.3,0.26,-0.48
