league,season,game,round,week,day,date,time,home_team,home_xg,score,away_xg,away_team,attendance,venue,referee,match_report,notes,game_id
ITA-Serie A,2223,2022-08-13 Lecce-Inter,Serie A,1,Sat,2022-08-13,20:45,Lecce,0.7,1–2,2.1,Inter,25353,Stadio Comunale Via Del Mare,Alessandro Prontera,/en/matches/6b610c5c/Lecce-Internazionale-August-13-2022-Serie-A,,6b610c5c
ITA-Serie A,2223,2022-08-13 Milan-Udinese,Serie A,1,Sat,2022-08-13,18:30,Milan,2.3,4–2,0.5,Udinese,70197,Stadio Giuseppe Meazza,Livio Marinelli,/en/matches/bb758ef8/Milan-Udinese-August-13-2022-Serie-A,,bb758ef8
ITA-Serie A,2223,2022-08-13 Monza-Torino,Serie A,1,Sat,2022-08-13,20:45,Monza,1.4,1–2,2.1,Torino,10739,U-Power Stadium,Maurizio Mariani,/en/matches/5f0a8b10/Monza-Torino-August-13-2022-Serie-A,,5f0a8b10
ITA-Serie A,2223,2022-08-13 Sampdoria-Atalanta,Serie A,1,Sat,2022-08-13,18:30,Sampdoria,1.0,0–2,2.2,Atalanta,20047,Stadio Comunale Luigi Ferraris,Federico Dionisi,/en/matches/185d9e37/Sampdoria-Atalanta-August-13-2022-Serie-A,,185d9e37
ITA-Serie A,2223,2022-08-14 Fiorentina-Cremonese,Serie A,1,Sun,2022-08-14,18:30,Fiorentina,2.0,3–2,1.3,Cremonese,34461,Stadio Artemio Franchi,Juan Sacchi,/en/matches/3ed8bdff/Fiorentina-Cremonese-August-14-2022-Serie-A,,3ed8bdff
ITA-Serie A,2223,2022-08-14 Lazio-Bologna,Serie A,1,Sun,2022-08-14,18:30,Lazio,0.7,2–1,1.5,Bologna,45000,Stadio Olimpico,Luca Massimi,/en/matches/c5003e68/Lazio-Bologna-August-14-2022-Serie-A,,c5003e68
ITA-Serie A,2223,2022-08-14 Salernitana-Roma,Serie A,1,Sun,2022-08-14,20:45,Salernitana,0.6,0–1,2.4,Roma,26006,Stadio Arechi,Simone Sozza,/en/matches/ff9838f3/Salernitana-Roma-August-14-2022-Serie-A,,ff9838f3
ITA-Serie A,2223,2022-08-14 Spezia-Empoli,Serie A,1,Sun,2022-08-14,20:45,Spezia,0.5,1–0,0.7,Empoli,8360,Stadio Alberto Picco,Daniele Chiffi,/en/matches/26520b87/Spezia-Empoli-August-14-2022-Serie-A,,26520b87
ITA-Serie A,2223,2022-08-15 Hellas Verona-Napoli,Serie A,1,Mon,2022-08-15,18:30,Hellas Verona,1.1,2–5,2.4,Napoli,16967,Stadio Marc'Antonio Bentegodi,Michael Fabbri,/en/matches/3e0bda8d/Hellas-Verona-Napoli-August-15-2022-Serie-A,,3e0bda8d
ITA-Serie A,2223,2022-08-15 Juventus-Sassuolo,Serie A,1,Mon,2022-08-15,20:45,Juventus,2.0,3–0,0.9,Sassuolo,38725,Allianz Stadium,Antonio Rapuano,/en/matches/59f4c84f/Juventus-Sassuolo-August-15-2022-Serie-A,,59f4c84f
ITA-Serie A,2223,2022-08-20 Inter-Spezia,Serie A,2,Sat,2022-08-20,20:45,Inter,2.1,3–0,0.5,Spezia,71212,Stadio Giuseppe Meazza,Davide Ghersini,/en/matches/33ff40ce/Internazionale-Spezia-August-20-2022-Serie-A,,33ff40ce
ITA-Serie A,2223,2022-08-20 Sassuolo-Lecce,Serie A,2,Sat,2022-08-20,20:45,Sassuolo,0.6,1–0,0.5,Lecce,9219,Mapei Stadium - Città del Tricolore,Andrea Colombo,/en/matches/4dbb8f95/Sassuolo-Lecce-August-20-2022-Serie-A,,4dbb8f95
ITA-Serie A,2223,2022-08-20 Torino-Lazio,Serie A,2,Sat,2022-08-20,18:30,Torino,0.7,0–0,0.8,Lazio,16530,Stadio Olimpico di Torino,Marco Piccinini,/en/matches/a1ed12f1/Torino-Lazio-August-20-2022-Serie-A,,a1ed12f1
ITA-Serie A,2223,2022-08-20 Udinese-Salernitana,Serie A,2,Sat,2022-08-20,18:30,Udinese,1.1,0–0,1.5,Salernitana,17054,Dacia Arena,Gianluca Aureliano,/en/matches/c0a89a83/Udinese-Salernitana-August-20-2022-Serie-A,,c0a89a83
ITA-Serie A,2223,2022-08-21 Atalanta-Milan,Serie A,2,Sun,2022-08-21,20:45,Atalanta,0.5,1–1,1.3,Milan,19216,Gewiss Stadium,Fabio Maresca,/en/matches/dbd39404/Atalanta-Milan-August-21-2022-Serie-A,,dbd39404
ITA-Serie A,2223,2022-08-21 Bologna-Hellas Verona,Serie A,2,Sun,2022-08-21,20:45,Bologna,0.8,1–1,1.9,Hellas Verona,17725,Stadio Renato Dall'Ara,Matteo Marcenaro,/en/matches/aa8df669/Bologna-Hellas-Verona-August-21-2022-Serie-A,,aa8df669
ITA-Serie A,2223,2022-08-21 Empoli-Fiorentina,Serie A,2,Sun,2022-08-21,18:30,Empoli,0.4,0–0,0.7,Fiorentina,10411,Stadio Carlo Castellani,Matteo Marchetti,/en/matches/39edb8e7/Empoli-Fiorentina-August-21-2022-Serie-A,,39edb8e7
ITA-Serie A,2223,2022-08-21 Napoli-Monza,Serie A,2,Sun,2022-08-21,18:30,Napoli,2.0,4–0,0.1,Monza,36559,Stadio Diego Armando Maradona,Francesco Fourneau,/en/matches/a61a4534/Napoli-Monza-August-21-2022-Serie-A,,a61a4534
ITA-Serie A,2223,2022-08-22 Roma-Cremonese,Serie A,2,Mon,2022-08-22,18:30,Roma,2.7,1–0,0.7,Cremonese,60859,Stadio Olimpico,Luca Massimi,/en/matches/836b2832/Roma-Cremonese-August-22-2022-Serie-A,,836b2832
ITA-Serie A,2223,2022-08-22 Sampdoria-Juventus,Serie A,2,Mon,2022-08-22,20:45,Sampdoria,0.9,0–0,0.8,Juventus,27573,Stadio Comunale Luigi Ferraris,Rosario Abisso,/en/matches/3181dd80/Sampdoria-Juventus-August-22-2022-Serie-A,,3181dd80
ITA-Serie A,2223,2022-08-26 Lazio-Inter,Serie A,3,Fri,2022-08-26,20:45,Lazio,1.1,3–1,1.5,Inter,52500,Stadio Olimpico,Michael Fabbri,/en/matches/e5be6a0a/Lazio-Internazionale-August-26-2022-Serie-A,,e5be6a0a
ITA-Serie A,2223,2022-08-26 Monza-Udinese,Serie A,3,Fri,2022-08-26,18:30,Monza,1.5,1–2,1.7,Udinese,9955,U-Power Stadium,Marco Di Bello,/en/matches/0210ca9e/Monza-Udinese-August-26-2022-Serie-A,,0210ca9e
ITA-Serie A,2223,2022-08-27 Cremonese-Torino,Serie A,3,Sat,2022-08-27,18:30,Cremonese,0.8,1–2,1.7,Torino,11572,Stadio Giovanni Zini,Paolo Valeri,/en/matches/ff16ac21/Cremonese-Torino-August-27-2022-Serie-A,,ff16ac21
ITA-Serie A,2223,2022-08-27 Juventus-Roma,Serie A,3,Sat,2022-08-27,18:30,Juventus,0.6,1–1,1.3,Roma,41003,Allianz Stadium,Massimiliano Irrati,/en/matches/23a2abe6/Juventus-Roma-August-27-2022-Serie-A,,23a2abe6
ITA-Serie A,2223,2022-08-27 Milan-Bologna,Serie A,3,Sat,2022-08-27,20:45,Milan,1.9,2–0,0.5,Bologna,70430,Stadio Giuseppe Meazza,Gianluca Manganiello,/en/matches/04907750/Milan-Bologna-August-27-2022-Serie-A,,04907750
ITA-Serie A,2223,2022-08-27 Spezia-Sassuolo,Serie A,3,Sat,2022-08-27,20:45,Spezia,1.2,2–2,2.8,Sassuolo,6500,Stadio Alberto Picco,Francesco Cosso,/en/matches/c4e3939b/Spezia-Sassuolo-August-27-2022-Serie-A,,c4e3939b
ITA-Serie A,2223,2022-08-28 Fiorentina-Napoli,Serie A,3,Sun,2022-08-28,20:45,Fiorentina,0.5,0–0,1.7,Napoli,32286,Stadio Artemio Franchi,Livio Marinelli,/en/matches/e2bb77f0/Fiorentina-Napoli-August-28-2022-Serie-A,,e2bb77f0
ITA-Serie A,2223,2022-08-28 Hellas Verona-Atalanta,Serie A,3,Sun,2022-08-28,18:30,Hellas Verona,0.5,0–1,0.8,Atalanta,16106,Stadio Marc'Antonio Bentegodi,Alessandro Prontera,/en/matches/c5d6e8c5/Hellas-Verona-Atalanta-August-28-2022-Serie-A,,c5d6e8c5
ITA-Serie A,2223,2022-08-28 Lecce-Empoli,Serie A,3,Sun,2022-08-28,20:45,Lecce,0.9,1–1,0.4,Empoli,23941,Stadio Comunale Via Del Mare,Alberto Santoro,/en/matches/b39f604a/Lecce-Empoli-August-28-2022-Serie-A,,b39f604a
ITA-Serie A,2223,2022-08-28 Salernitana-Sampdoria,Serie A,3,Sun,2022-08-28,18:30,Salernitana,1.7,4–0,1.8,Sampdoria,19116,Stadio Arechi,Davide Massa,/en/matches/3aeb5a7a/Salernitana-Sampdoria-August-28-2022-Serie-A,,3aeb5a7a
