,,,,nation,pos,age,born,90s,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Ast,xAG,Expected,Expected,KP,1/3,PPA,CrsPA,PrgP
,,,,,,,,,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,,,xA,A-xAG,,,,,
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Antonio Sivera,ESP,GK,24,1996,3.1,66,107,61.7,2498,2088,11,11,100.0,19,19,100.0,36,77,46.8,0,0.0,0.0,0.0,0,3,0,0,0
ESP-La Liga,2122,Alavés,Facundo Pellistri,URU,"MF,FW",19,2001,7.5,105,148,70.9,1224,312,79,91,86.8,19,28,67.9,2,7,28.6,0,0.5,0.3,-0.5,6,6,5,1,11
ESP-La Liga,2122,Alavés,Fernando Pacheco,ESP,GK,29,1992,33.9,649,1032,62.9,25444,21746,73,73,100.0,179,181,98.9,397,775,51.2,0,0.3,0.1,-0.3,2,48,2,0,0
ESP-La Liga,2122,Alavés,Florian Lejeune,FRA,DF,30,1991,30.0,908,1172,77.5,21891,8978,217,267,81.3,489,556,87.9,192,317,60.6,0,0.2,0.4,-0.2,5,59,4,0,74
ESP-La Liga,2122,Alavés,Gonzalo Escalante,ARG,MF,28,1993,14.4,265,399,66.4,4139,1281,145,190,76.3,82,122,67.2,20,43,46.5,0,0.2,0.2,-0.2,7,42,3,0,41
ESP-La Liga,2122,Alavés,Iván Martín,ESP,"MF,FW",22,1999,1.8,51,65,78.5,722,209,33,35,94.3,15,18,83.3,2,7,28.6,0,0.0,0.1,0.0,0,7,0,0,9
ESP-La Liga,2122,Alavés,Jason,ESP,"MF,FW",27,1994,7.5,112,218,51.4,2070,872,49,68,72.1,41,70,58.6,16,57,28.1,1,1.7,1.3,-0.7,17,6,7,7,10
ESP-La Liga,2122,Alavés,Javi López,ESP,DF,19,2002,5.1,155,218,71.1,2862,1050,68,76,89.5,63,85,74.1,20,46,43.5,0,0.4,0.5,-0.4,4,13,5,3,13
ESP-La Liga,2122,Alavés,Jesús Owono,EQG,GK,20,2001,1.0,11,23,47.8,513,464,0,0,,2,2,100.0,9,21,42.9,0,0.0,0.0,0.0,0,2,0,0,0
ESP-La Liga,2122,Alavés,John Guidetti,SWE,"FW,MF",29,1992,3.1,54,75,72.0,618,111,37,44,84.1,8,13,61.5,2,3,66.7,0,0.2,0.3,-0.2,4,4,0,0,3
ESP-La Liga,2122,Alavés,Joselu,ESP,FW,31,1990,34.7,657,1104,59.5,9048,2171,408,606,67.3,183,317,57.7,34,69,49.3,4,4.5,3.6,-0.5,35,73,18,4,108
ESP-La Liga,2122,Alavés,Luis Rioja,ESP,"MF,FW",27,1993,34.6,560,932,60.1,8631,2524,315,403,78.2,170,291,58.4,48,129,37.2,3,5.1,4.2,-2.1,33,36,34,12,77
ESP-La Liga,2122,Alavés,Mamadou Loum,SEN,MF,24,1996,25.7,606,835,72.6,11052,3266,259,331,78.2,265,333,79.6,75,129,58.1,0,0.6,0.5,-0.6,9,60,3,1,72
ESP-La Liga,2122,Alavés,Mamadou Sylla,SEN,"FW,MF",27,1994,4.4,41,74,55.4,662,71,20,31,64.5,17,28,60.7,3,4,75.0,0,0.1,0.1,-0.1,3,3,2,1,4
ESP-La Liga,2122,Alavés,Manu García,ESP,MF,23,1998,12.0,437,578,75.6,8330,2818,207,240,86.3,150,179,83.8,72,131,55.0,1,1.1,1.7,-0.1,19,72,13,4,79
ESP-La Liga,2122,Alavés,Manu Vallejo,ESP,"MF,FW",24,1997,4.1,81,114,71.1,1307,269,42,50,84.0,28,35,80.0,9,19,47.4,1,0.3,0.3,0.7,4,4,2,1,8
ESP-La Liga,2122,Alavés,Marc Tenas,ESP,"FW,MF",20,2001,0.6,14,21,66.7,175,36,10,12,83.3,4,7,57.1,0,0,,0,0.2,0.0,-0.2,1,0,0,0,0
ESP-La Liga,2122,Alavés,Martin Agirregabiria,ESP,DF,25,1996,18.0,547,792,69.1,9008,4537,279,349,79.9,216,294,73.5,44,110,40.0,1,0.7,0.7,0.3,14,51,20,12,57
ESP-La Liga,2122,Alavés,Matt Miazga,USA,DF,26,1995,9.3,244,321,76.0,5215,2078,72,90,80.0,131,155,84.5,39,70,55.7,0,0.2,0.0,-0.2,2,4,0,0,10
ESP-La Liga,2122,Alavés,Miguel,ESP,"FW,MF",21,1999,9.2,103,161,64.0,1350,172,65,81,80.2,34,43,79.1,2,6,33.3,1,0.3,0.4,0.7,5,6,2,1,6
ESP-La Liga,2122,Alavés,Mircea Ţîrlea,ROU,DF,21,2000,0.2,12,15,80.0,201,118,6,7,85.7,4,4,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Alavés,Nahuel Tenaglia,ARG,DF,25,1996,11.9,305,485,62.9,5242,2711,146,188,77.7,124,179,69.3,31,90,34.4,0,0.1,0.4,-0.1,3,34,9,3,42
ESP-La Liga,2122,Alavés,Pere Pons,ESP,MF,28,1993,15.2,267,374,71.4,3994,984,148,187,79.1,93,126,73.8,14,27,51.9,0,0.6,0.5,-0.6,12,22,8,2,37
ESP-La Liga,2122,Alavés,Rubén Duarte,ESP,DF,25,1995,29.1,897,1352,66.3,15269,7747,439,510,86.1,351,495,70.9,90,265,34.0,4,2.5,2.6,1.5,22,77,25,16,85
ESP-La Liga,2122,Alavés,Saúl García,ESP,MF,26,1994,0.0,1,3,33.3,32,10,0,0,,0,1,0.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0
ESP-La Liga,2122,Alavés,Tachi,ESP,DF,23,1997,2.7,59,94,62.8,1548,780,15,20,75.0,29,40,72.5,15,33,45.5,0,0.1,0.0,-0.1,1,10,1,1,7
ESP-La Liga,2122,Alavés,Tomás Mendes,ESP,MF,16,2004,0.1,4,5,80.0,91,9,1,2,50.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
