,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Abdel Abqar,MAR,DF,22,1999,0,,,,,0,,0,0,,16,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Adrian Rodriguez,ESP,GK,20,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Alan Godoy,ESP,FW,18,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Alex Balboa,EQG,MF,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Antonio Sivera,ESP,GK,24,1996,4,277,69,8.1,3.1,3,90,3,1,7,33,1.0,1,4,-3,-0.97,-0.09,2.0,4.5,-2.5,-0.81,-0.32
ESP-La Liga,2122,Alavés,Facundo Pellistri,URU,"MF,FW",19,2001,21,672,32,19.6,7.5,6,62,0,15,20,14,0.76,4,10,-6,-0.8,0.11,6.4,11.0,-4.6,-0.62,-0.12
ESP-La Liga,2122,Alavés,Fernando Pacheco,ESP,GK,29,1992,34,3053,90,89.3,33.9,34,90,33,0,,1,0.85,29,60,-31,-0.91,-0.18,33.6,51.7,-18.1,-0.53,-0.13
ESP-La Liga,2122,Alavés,Florian Lejeune,FRA,DF,30,1991,30,2699,90,78.9,30.0,30,90,29,0,,2,0.83,28,54,-26,-0.87,0.13,31.9,44.0,-12.2,-0.41,0.54
ESP-La Liga,2122,Alavés,George Gagua,GEO,FW,19,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Gonzalo Escalante,ARG,MF,28,1993,17,1300,76,38.0,14.4,15,81,6,2,40,0,0.88,14,26,-12,-0.83,0.1,16.0,21.9,-5.9,-0.41,0.18
ESP-La Liga,2122,Alavés,Iván Martín,ESP,"MF,FW",22,1999,6,166,28,4.9,1.8,2,45,0,4,19,15,0.83,2,4,-2,-1.08,-0.2,1.6,2.9,-1.3,-0.71,-0.2
ESP-La Liga,2122,Alavés,Iván Sanz,ESP,,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Jason,ESP,"MF,FW",27,1994,14,678,48,19.8,7.5,10,63,1,4,12,5,1.0,6,10,-4,-0.53,0.45,8.2,11.5,-3.3,-0.43,0.11
ESP-La Liga,2122,Alavés,Javi López,ESP,DF,19,2002,9,462,51,13.5,5.1,4,87,3,5,23,21,0.11,3,12,-9,-1.75,-0.99,4.1,8.3,-4.2,-0.82,-0.35
ESP-La Liga,2122,Alavés,Jesús Owono,EQG,GK,20,2001,1,90,90,2.6,1.0,1,90,1,0,,2,1.0,1,1,0,0.0,0.92,1.7,0.9,0.9,0.86,1.42
