,,,,nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
ESP-La Liga,2122,Alavés,Antonio Sivera,ESP,GK,24,1996,3.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Facundo Pellistri,URU,"MF,FW",19,2001,7.5,0,7,2,28.6,0.94,0.27,0.0,0.0,12.9,0,0,0,0.5,0.5,0.07,-0.5,-0.5
ESP-La Liga,2122,Alavés,Fernando Pacheco,ESP,GK,29,1992,33.9,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Florian Lejeune,FRA,DF,30,1991,30.0,0,22,2,9.1,0.73,0.07,0.0,0.0,20.9,6,0,0,1.5,1.5,0.07,-1.5,-1.5
ESP-La Liga,2122,Alavés,Gonzalo Escalante,ARG,MF,28,1993,14.4,5,16,9,56.3,1.11,0.62,0.31,0.56,12.2,0,0,0,3.2,3.2,0.2,1.8,1.8
ESP-La Liga,2122,Alavés,Iván Martín,ESP,"MF,FW",22,1999,1.8,0,1,0,0.0,0.54,0.0,0.0,,20.8,0,0,0,0.1,0.1,0.1,-0.1,-0.1
ESP-La Liga,2122,Alavés,Jason,ESP,"MF,FW",27,1994,7.5,0,9,2,22.2,1.19,0.27,0.0,0.0,21.4,1,0,0,0.9,0.9,0.1,-0.9,-0.9
ESP-La Liga,2122,Alavés,Javi López,ESP,DF,19,2002,5.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Jesús Owono,EQG,GK,20,2001,1.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,John Guidetti,SWE,"FW,MF",29,1992,3.1,0,10,2,20.0,3.23,0.65,0.0,0.0,15.6,1,0,0,1.0,1.0,0.1,-1.0,-1.0
ESP-La Liga,2122,Alavés,Joselu,ESP,FW,31,1990,34.7,14,90,33,36.7,2.59,0.95,0.09,0.24,18.6,5,6,7,12.9,7.4,0.08,1.1,0.6
ESP-La Liga,2122,Alavés,Luis Rioja,ESP,"MF,FW",27,1993,34.6,1,44,16,36.4,1.27,0.46,0.02,0.06,18.3,0,0,0,3.0,3.0,0.07,-2.0,-2.0
ESP-La Liga,2122,Alavés,Mamadou Loum,SEN,MF,24,1996,25.7,2,33,8,24.2,1.28,0.31,0.06,0.25,21.3,0,0,0,2.9,2.9,0.09,-0.9,-0.9
ESP-La Liga,2122,Alavés,Mamadou Sylla,SEN,"FW,MF",27,1994,4.4,0,2,0,0.0,0.46,0.0,0.0,,8.9,0,0,0,0.4,0.4,0.21,-0.4,-0.4
ESP-La Liga,2122,Alavés,Manu García,ESP,MF,23,1998,12.0,0,8,1,12.5,0.67,0.08,0.0,0.0,22.7,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ESP-La Liga,2122,Alavés,Manu Vallejo,ESP,"MF,FW",24,1997,4.1,1,3,2,66.7,0.73,0.49,0.33,0.5,12.7,0,0,0,0.7,0.7,0.22,0.3,0.3
ESP-La Liga,2122,Alavés,Marc Tenas,ESP,"FW,MF",20,2001,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Martin Agirregabiria,ESP,DF,25,1996,18.0,0,4,0,0.0,0.22,0.0,0.0,,19.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2
ESP-La Liga,2122,Alavés,Matt Miazga,USA,DF,26,1995,9.3,0,7,3,42.9,0.76,0.32,0.0,0.0,12.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3
ESP-La Liga,2122,Alavés,Miguel,ESP,"FW,MF",21,1999,9.2,1,22,4,18.2,2.39,0.43,0.05,0.25,14.4,0,0,0,1.9,1.9,0.09,-0.9,-0.9
ESP-La Liga,2122,Alavés,Mircea Ţîrlea,ROU,DF,21,2000,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Nahuel Tenaglia,ARG,DF,25,1996,11.9,0,6,1,16.7,0.5,0.08,0.0,0.0,19.1,0,0,0,0.3,0.3,0.04,-0.3,-0.3
ESP-La Liga,2122,Alavés,Pere Pons,ESP,MF,28,1993,15.2,1,15,4,26.7,0.99,0.26,0.07,0.25,15.0,0,0,0,1.5,1.5,0.1,-0.5,-0.5
ESP-La Liga,2122,Alavés,Rubén Duarte,ESP,DF,25,1995,29.1,0,9,3,33.3,0.31,0.1,0.0,0.0,23.8,0,0,0,0.4,0.4,0.04,-0.4,-0.4
ESP-La Liga,2122,Alavés,Saúl García,ESP,MF,26,1994,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Tachi,ESP,DF,23,1997,2.7,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ESP-La Liga,2122,Alavés,Tomás Mendes,ESP,MF,16,2004,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
